epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.572,2.07005,2.13051,1.59692,0.38229,0.48945,0.40299,0.20444,1.59222,1.69376,1.39369,0.00332715,0.00332715,0.00332715
2,278.02,1.62349,1.57547,1.27256,0.33091,0.54447,0.41261,0.21793,1.63992,1.66605,1.40074,0.00666008,0.00666008,0.00666008
3,369.674,1.64485,1.60011,1.27353,0.34045,0.56779,0.41133,0.2259,1.52008,2.22528,1.34311,0.00999137,0.00999137,0.00999137
4,443.584,1.64168,1.60559,1.26893,0.35416,0.57191,0.42702,0.22829,1.53631,1.6217,1.31297,0.0099945,0.0099945,0.0099945
5,519.102,1.57992,1.54281,1.24502,0.32016,0.55486,0.40244,0.2017,1.59847,1.77133,1.39055,0.00999023,0.00999023,0.00999023
6,593.821,1.51284,1.50055,1.21461,0.38,0.56591,0.45865,0.2633,1.36172,1.55899,1.23861,0.00998474,0.00998474,0.00998474
7,683.604,1.48469,1.47772,1.20485,0.37826,0.57346,0.46958,0.27937,1.29494,1.5982,1.21625,0.00997803,0.00997803,0.00997803
8,773.772,1.4437,1.45091,1.1827,0.38393,0.58879,0.47488,0.25478,1.49881,1.51954,1.28165,0.00997011,0.00997011,0.00997011
9,846.372,1.43025,1.4319,1.17849,0.4215,0.57952,0.48352,0.27141,1.47593,1.49981,1.28072,0.00996097,0.00996097,0.00996097
10,918.842,1.40012,1.40848,1.16285,0.43024,0.5959,0.50656,0.30818,1.26902,1.43001,1.19142,0.00995062,0.00995062,0.00995062
11,1023.43,1.3919,1.39671,1.16506,0.40193,0.55854,0.46247,0.23415,1.67766,1.56752,1.35566,0.00993906,0.00993906,0.00993906
12,1139.94,1.37666,1.38575,1.15568,0.435,0.57245,0.48774,0.27833,1.40265,1.45757,1.23759,0.00992629,0.00992629,0.00992629
13,1227.1,1.36374,1.37649,1.15268,0.44384,0.5697,0.49205,0.27131,1.52299,1.4496,1.28906,0.00991232,0.00991232,0.00991232
14,1333.25,1.35338,1.36969,1.14701,0.4408,0.59576,0.51534,0.29512,1.39487,1.40002,1.22459,0.00989715,0.00989715,0.00989715
15,1434.22,1.35033,1.36106,1.14589,0.42167,0.59581,0.50109,0.26706,1.59919,1.47799,1.31009,0.00988079,0.00988079,0.00988079
16,1561.77,1.34039,1.34717,1.1412,0.44439,0.55645,0.48855,0.27152,1.49326,1.42738,1.27491,0.00986323,0.00986323,0.00986323
17,1699.69,1.32948,1.35073,1.14092,0.46137,0.58257,0.52293,0.30474,1.38009,1.3848,1.22354,0.00984449,0.00984449,0.00984449
18,1831.44,1.32244,1.33903,1.13539,0.44554,0.57617,0.51339,0.29689,1.39794,1.40159,1.22916,0.00982456,0.00982456,0.00982456
19,1972.29,1.31532,1.33138,1.13395,0.43978,0.5984,0.51606,0.29709,1.41997,1.38364,1.23381,0.00980345,0.00980345,0.00980345
20,2111.33,1.31082,1.32973,1.135,0.45709,0.58842,0.5102,0.28911,1.45903,1.3994,1.24876,0.00978118,0.00978118,0.00978118
21,2248.66,1.29943,1.31953,1.13012,0.47449,0.58521,0.52793,0.31064,1.38582,1.36444,1.22733,0.00975773,0.00975773,0.00975773
22,2356.23,1.29845,1.31549,1.13102,0.48519,0.59083,0.53529,0.3233,1.28246,1.35303,1.18091,0.00973312,0.00973312,0.00973312
23,2437.2,1.29633,1.31347,1.12919,0.46312,0.55997,0.50247,0.27799,1.52655,1.44154,1.28225,0.00970736,0.00970736,0.00970736
24,2511.44,1.28292,1.30276,1.12186,0.48726,0.60152,0.54558,0.31146,1.46785,1.34274,1.26401,0.00968045,0.00968045,0.00968045
25,2585.94,1.28864,1.3085,1.12672,0.46766,0.60441,0.53536,0.29945,1.504,1.35628,1.27843,0.00965239,0.00965239,0.00965239
26,2670.59,1.28197,1.29226,1.12161,0.48679,0.5935,0.54126,0.31945,1.37387,1.33717,1.21645,0.0096232,0.0096232,0.0096232
27,2789.51,1.28381,1.2955,1.12337,0.50135,0.60163,0.55206,0.32733,1.35031,1.31282,1.20562,0.00959289,0.00959289,0.00959289
28,2865.67,1.27241,1.28859,1.1181,0.48247,0.59667,0.54089,0.30003,1.53383,1.35095,1.28101,0.00956145,0.00956145,0.00956145
29,2942.24,1.2711,1.29133,1.119,0.50645,0.58315,0.54537,0.32752,1.3605,1.34579,1.21411,0.00952889,0.00952889,0.00952889
30,3015.39,1.2654,1.28142,1.11117,0.47249,0.61744,0.55357,0.32666,1.39432,1.32631,1.2198,0.00949524,0.00949524,0.00949524
31,3095.06,1.26657,1.28176,1.1133,0.48883,0.60025,0.55103,0.31907,1.41187,1.32628,1.22598,0.00946048,0.00946048,0.00946048
32,3168.44,1.26573,1.27562,1.1129,0.50424,0.60549,0.5583,0.33223,1.35044,1.31111,1.20454,0.00942464,0.00942464,0.00942464
33,3255.68,1.26185,1.27321,1.11271,0.49679,0.60289,0.55549,0.33074,1.33965,1.29842,1.19796,0.00938772,0.00938772,0.00938772
34,3377.18,1.25937,1.27344,1.11737,0.49414,0.59562,0.5607,0.33585,1.31845,1.30298,1.18847,0.00934973,0.00934973,0.00934973
35,3499.14,1.25827,1.27002,1.10895,0.50676,0.60242,0.56326,0.32824,1.4315,1.29913,1.23589,0.00931067,0.00931067,0.00931067
36,3611.3,1.25074,1.26499,1.10901,0.50791,0.59866,0.55519,0.32675,1.37119,1.32159,1.21279,0.00927057,0.00927057,0.00927057
37,3713.27,1.2491,1.25677,1.1086,0.5074,0.6005,0.5529,0.29972,1.57589,1.32298,1.30217,0.00922942,0.00922942,0.00922942
38,3819.16,1.2466,1.25732,1.10748,0.50187,0.61439,0.56983,0.33069,1.43375,1.28307,1.24074,0.00918725,0.00918725,0.00918725
39,3928.92,1.24133,1.25605,1.10669,0.5146,0.60215,0.56713,0.33064,1.41356,1.28767,1.22774,0.00914405,0.00914405,0.00914405
40,4021.4,1.23913,1.24478,1.10273,0.51759,0.60741,0.57249,0.33151,1.43403,1.27438,1.2386,0.00909984,0.00909984,0.00909984
41,4121.94,1.24584,1.25909,1.11077,0.52167,0.60624,0.57388,0.33799,1.39283,1.27656,1.22428,0.00905463,0.00905463,0.00905463
42,4217.64,1.239,1.25232,1.1062,0.51945,0.60781,0.57372,0.33901,1.39489,1.27015,1.21968,0.00900844,0.00900844,0.00900844
43,4303.67,1.24106,1.24253,1.10266,0.52233,0.61491,0.57935,0.35103,1.31217,1.25556,1.18606,0.00896127,0.00896127,0.00896127
44,4379.1,1.23158,1.24033,1.10332,0.51867,0.62383,0.58542,0.35276,1.31265,1.25702,1.18614,0.00891313,0.00891313,0.00891313
45,4492.42,1.23297,1.23687,1.10148,0.51525,0.60958,0.56864,0.33023,1.4341,1.28541,1.23977,0.00886404,0.00886404,0.00886404
46,4624.71,1.23138,1.23854,1.10677,0.52197,0.61549,0.58058,0.3461,1.37164,1.24882,1.21115,0.00881401,0.00881401,0.00881401
47,4750.41,1.22781,1.24254,1.10024,0.52395,0.60745,0.57353,0.32688,1.49649,1.27428,1.26766,0.00876305,0.00876305,0.00876305
48,4862.62,1.22992,1.23281,1.10172,0.52376,0.61337,0.58052,0.33295,1.4921,1.26005,1.26409,0.00871117,0.00871117,0.00871117
49,4939.51,1.22347,1.22719,1.09326,0.52124,0.61585,0.57891,0.33763,1.43072,1.25789,1.2344,0.00865839,0.00865839,0.00865839
50,5019.44,1.22601,1.22796,1.09559,0.5245,0.61593,0.58394,0.34183,1.42191,1.24985,1.23156,0.00860473,0.00860473,0.00860473
51,5138.59,1.22647,1.22811,1.09878,0.53046,0.61712,0.58945,0.35141,1.36314,1.23439,1.20539,0.00855018,0.00855018,0.00855018
52,5258.26,1.21659,1.22055,1.09678,0.52465,0.61263,0.58656,0.31622,1.63697,1.26119,1.33599,0.00849477,0.00849477,0.00849477
53,5381.43,1.2133,1.21865,1.09189,0.52888,0.614,0.58781,0.3336,1.53346,1.25087,1.28474,0.00843851,0.00843851,0.00843851
54,5505.58,1.21177,1.22281,1.09618,0.53012,0.61672,0.59047,0.35719,1.34497,1.23438,1.20082,0.00838141,0.00838141,0.00838141
