epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0759,1.6592,1.88028,1.48974,0.08414,0.49813,0.05114,0.0252,2.3573,inf,2.65087,0.000550522,0.000550522,0.000550522
2,101.654,1.30833,1.47506,1.21533,0.33807,0.61751,0.35054,0.09491,nan,nan,nan,0.00110612,0.00110612,0.00110612
3,144.911,1.26955,1.50219,1.1951,0.21821,0.58415,0.37727,0.21552,1.40091,2.61308,1.19712,0.00166145,0.00166145,0.00166145
4,186.585,1.22375,1.40684,1.17436,0.29262,0.6071,0.4313,0.24777,1.37269,1.74496,1.18794,0.00166608,0.00166608,0.00166608
5,227.488,1.20674,1.40709,1.16832,0.30442,0.60709,0.44133,0.26699,1.20836,1.64686,1.12869,0.00166537,0.00166537,0.00166537
6,267.277,1.1638,1.36187,1.15297,0.30386,0.54997,0.40586,0.24515,1.25588,1.66366,1.1654,0.00166446,0.00166446,0.00166446
7,309.403,1.1626,1.35433,1.15304,0.4213,0.53016,0.46346,0.26022,1.35005,1.6055,1.19095,0.00166334,0.00166334,0.00166334
8,349.89,1.16031,1.31542,1.14628,0.46657,0.59059,0.51393,0.3156,1.22038,1.39248,1.13241,0.00166202,0.00166202,0.00166202
9,390.458,1.14618,1.29828,1.1408,0.40971,0.60304,0.49944,0.30972,1.20869,1.35121,1.12864,0.00166049,0.00166049,0.00166049
10,431.119,1.13659,1.31789,1.13814,0.43356,0.59959,0.5112,0.31558,1.23807,1.38991,1.13238,0.00165877,0.00165877,0.00165877
11,470.874,1.14057,1.30247,1.13608,0.39695,0.58147,0.48459,0.3016,1.17015,1.39205,1.11726,0.00165684,0.00165684,0.00165684
12,510.892,1.1214,1.28408,1.12831,0.49321,0.61559,0.54614,0.34349,1.17293,1.33189,1.11659,0.00165471,0.00165471,0.00165471
13,551.236,1.11115,1.27626,1.12396,0.4651,0.59344,0.52244,0.32196,1.17389,1.32199,1.11412,0.00165238,0.00165238,0.00165238
14,591.274,1.11,1.25189,1.1237,0.41254,0.6031,0.50187,0.30374,1.2258,1.39662,1.14468,0.00164986,0.00164986,0.00164986
15,629.931,1.11207,1.27484,1.1274,0.4832,0.60013,0.56667,0.35283,1.21554,1.29697,1.13446,0.00164713,0.00164713,0.00164713
16,670.115,1.11056,1.23839,1.12515,0.33841,0.59328,0.45884,0.27726,1.20305,1.53926,1.12967,0.0016442,0.0016442,0.0016442
17,709.398,1.09649,1.23226,1.12336,0.45705,0.5895,0.52515,0.33149,1.13683,1.34783,1.09742,0.00164108,0.00164108,0.00164108
18,749.023,1.11025,1.23558,1.12671,0.42806,0.60815,0.52109,0.33037,1.15457,1.33499,1.10543,0.00163775,0.00163775,0.00163775
19,789.641,1.10357,1.22661,1.12217,0.45641,0.57553,0.51169,0.32639,1.15309,1.33828,1.11041,0.00163424,0.00163424,0.00163424
20,829.185,1.10131,1.2204,1.12026,0.47588,0.61029,0.54631,0.34393,1.18517,1.27555,1.11917,0.00163052,0.00163052,0.00163052
21,868.429,1.09659,1.20934,1.12105,0.45865,0.58427,0.47825,0.29627,1.18322,1.62696,1.12345,0.00162661,0.00162661,0.00162661
22,909.033,1.09571,1.20966,1.11967,0.49018,0.60212,0.55347,0.34855,1.13961,1.28287,1.09975,0.00162251,0.00162251,0.00162251
23,948.756,1.08823,1.19139,1.11777,0.47733,0.59695,0.55483,0.34925,1.14529,1.29757,1.10134,0.00161822,0.00161822,0.00161822
24,988.994,1.08357,1.18089,1.11568,0.4773,0.60224,0.54573,0.34669,1.12938,1.29514,1.09973,0.00161373,0.00161373,0.00161373
25,1029.34,1.08624,1.1832,1.11717,0.44935,0.60763,0.55224,0.35103,1.12354,1.30458,1.10843,0.00160905,0.00160905,0.00160905
26,1070.34,1.08443,1.17525,1.11672,0.47169,0.60605,0.55703,0.3572,1.13711,1.3484,1.1045,0.00160419,0.00160419,0.00160419
27,1111.08,1.07956,1.17637,1.11374,0.50314,0.62931,0.58567,0.37432,1.13124,1.21187,1.10173,0.00159913,0.00159913,0.00159913
28,1151.45,1.07852,1.19953,1.11299,0.44431,0.62838,0.55444,0.35115,1.11544,1.36044,1.09599,0.00159389,0.00159389,0.00159389
29,1192,1.07486,1.1586,1.11221,0.43669,0.57998,0.52603,0.32745,1.14616,1.36783,1.09504,0.00158847,0.00158847,0.00158847
30,1232.32,1.07774,1.18598,1.11499,0.43603,0.63691,0.56801,0.36054,1.13205,1.28984,1.09833,0.00158286,0.00158286,0.00158286
31,1272.75,1.07102,1.16112,1.10916,0.52758,0.60827,0.58513,0.36988,1.12303,1.22955,1.09592,0.00157706,0.00157706,0.00157706
32,1312.5,1.07989,1.15463,1.11302,0.45056,0.62669,0.55952,0.35494,1.15854,1.30239,1.10509,0.00157109,0.00157109,0.00157109
33,1352.6,1.07394,1.13592,1.1099,0.49873,0.61173,0.56913,0.36602,1.11277,1.22484,1.10091,0.00156493,0.00156493,0.00156493
34,1392.12,1.07552,1.17208,1.11031,0.49926,0.61441,0.55867,0.35314,1.15141,1.29664,1.10741,0.0015586,0.0015586,0.0015586
35,1434.35,1.07722,1.15889,1.11166,0.51112,0.60054,0.57711,0.36115,1.17471,1.23984,1.11612,0.00155209,0.00155209,0.00155209
36,1476.18,1.07674,1.1516,1.11186,0.51023,0.63328,0.59642,0.3797,1.15308,1.19268,1.10356,0.0015454,0.0015454,0.0015454
37,1518.41,1.0685,1.12323,1.10869,0.49277,0.63318,0.59096,0.37828,1.14396,1.20765,1.10614,0.00153854,0.00153854,0.00153854
38,1559.46,1.06804,1.12745,1.10979,0.52239,0.62988,0.59017,0.38184,1.11617,1.18825,1.09722,0.00153151,0.00153151,0.00153151
39,1602.44,1.06896,1.1154,1.10911,0.51932,0.60504,0.56214,0.36267,1.1179,1.2538,1.10118,0.00152431,0.00152431,0.00152431
40,1643.72,1.07293,1.13176,1.11072,0.51052,0.58359,0.5677,0.36211,1.15432,1.39476,1.11287,0.00151694,0.00151694,0.00151694
41,1686.22,1.07021,1.12833,1.11062,0.55353,0.63216,0.61691,0.39696,1.11386,1.16032,1.095,0.00150941,0.00150941,0.00150941
42,1729.22,1.06569,1.1051,1.10891,0.52179,0.63575,0.59824,0.38242,1.10715,1.18704,1.09521,0.00150171,0.00150171,0.00150171
43,1770.82,1.0526,1.09169,1.10246,0.5225,0.61402,0.59487,0.38008,1.11989,1.19879,1.09779,0.00149384,0.00149384,0.00149384
44,1803.99,1.05473,1.1103,1.10681,0.52182,0.62396,0.5792,0.37174,1.11548,1.20504,1.09453,0.00148582,0.00148582,0.00148582
45,1837.19,1.06346,1.10956,1.10701,0.50229,0.65286,0.59976,0.38739,1.10263,1.22402,1.09139,0.00147764,0.00147764,0.00147764
46,1876.47,1.05919,1.11344,1.10308,0.56196,0.62896,0.62473,0.40446,1.09556,1.1455,1.08566,0.0014693,0.0014693,0.0014693
47,1917.39,1.05846,1.08467,1.10284,0.55739,0.63281,0.62742,0.40557,1.12594,1.14949,1.09583,0.0014608,0.0014608,0.0014608
48,1956.82,1.06117,1.08754,1.10915,0.52496,0.59484,0.57701,0.36588,1.13407,1.25842,1.10958,0.00145215,0.00145215,0.00145215
49,1995.71,1.06455,1.08139,1.10848,0.50556,0.62144,0.6011,0.38466,1.11565,1.21823,1.0899,0.00144335,0.00144335,0.00144335
50,2034.05,1.05395,1.09266,1.10344,0.51922,0.6301,0.6017,0.38611,1.11643,1.21451,1.09416,0.00143441,0.00143441,0.00143441
51,2075.58,1.05436,1.09342,1.10464,0.54306,0.60855,0.59,0.37739,1.12602,1.21293,1.0985,0.00142531,0.00142531,0.00142531
52,2116.47,1.05332,1.07841,1.10442,0.49053,0.6407,0.60253,0.38813,1.10284,1.1983,1.0908,0.00141608,0.00141608,0.00141608
53,2155.57,1.05366,1.07247,1.10511,0.49936,0.62038,0.58617,0.37747,1.10475,1.20248,1.08839,0.0014067,0.0014067,0.0014067
54,2195.2,1.05254,1.07139,1.10287,0.53922,0.63251,0.60907,0.39777,1.11573,1.16908,1.09486,0.00139718,0.00139718,0.00139718
55,2233.94,1.05235,1.06498,1.10286,0.49787,0.63017,0.59637,0.3805,1.11555,1.19856,1.09304,0.00138753,0.00138753,0.00138753
56,2273.88,1.05116,1.07668,1.10125,0.55089,0.62524,0.61561,0.39674,1.11374,1.17667,1.09262,0.00137774,0.00137774,0.00137774
57,2314.58,1.05597,1.06521,1.10352,0.54352,0.63493,0.60166,0.39109,1.1034,1.16893,1.09235,0.00136781,0.00136781,0.00136781
58,2354.01,1.05114,1.05805,1.10162,0.51965,0.61638,0.6017,0.38576,1.11348,1.18823,1.09288,0.00135776,0.00135776,0.00135776
59,2393.91,1.04764,1.06583,1.10226,0.53375,0.62033,0.60166,0.38279,1.12867,1.16537,1.1024,0.00134758,0.00134758,0.00134758
60,2432.71,1.04809,1.07342,1.09928,0.53198,0.63394,0.60823,0.39418,1.10066,1.16075,1.08846,0.00133728,0.00133728,0.00133728
61,2473.03,1.04138,1.05485,1.09772,0.54268,0.64415,0.62672,0.40634,1.1075,1.13795,1.0899,0.00132685,0.00132685,0.00132685
62,2513.31,1.04463,1.05626,1.09946,0.54452,0.61911,0.5979,0.38471,1.1207,1.20439,1.09867,0.00131631,0.00131631,0.00131631
63,2552.22,1.04102,1.05745,1.09615,0.57546,0.62653,0.63399,0.41,1.09584,1.14286,1.08931,0.00130565,0.00130565,0.00130565
64,2592.21,1.04705,1.0551,1.10222,0.5608,0.62861,0.62651,0.40759,1.09965,1.13195,1.09361,0.00129487,0.00129487,0.00129487
65,2632.59,1.04511,1.05567,1.09968,0.55528,0.62651,0.61444,0.4,1.10656,1.16188,1.09325,0.00128398,0.00128398,0.00128398
66,2673.84,1.04698,1.04223,1.10085,0.53874,0.63943,0.6102,0.39256,1.10973,1.14586,1.09317,0.00127298,0.00127298,0.00127298
67,2716.69,1.04487,1.03159,1.09851,0.56534,0.6406,0.63125,0.40794,1.11677,1.12026,1.09832,0.00126188,0.00126188,0.00126188
68,2755.76,1.04444,1.02966,1.09782,0.57965,0.64034,0.637,0.41299,1.09764,1.12345,1.08742,0.00125067,0.00125067,0.00125067
69,2795.77,1.04389,1.02819,1.10046,0.5026,0.63858,0.58749,0.37925,1.10998,1.18149,1.09114,0.00123936,0.00123936,0.00123936
70,2834.42,1.04001,1.03214,1.09892,0.54264,0.64497,0.62237,0.40398,1.10643,1.13146,1.09129,0.00122795,0.00122795,0.00122795
71,2874.82,1.03182,1.02686,1.09447,0.58528,0.6367,0.64242,0.41772,1.11331,1.10794,1.09595,0.00121645,0.00121645,0.00121645
72,2916.87,1.03772,1.03541,1.0957,0.57986,0.62685,0.62779,0.40905,1.09741,1.16428,1.0939,0.00120486,0.00120486,0.00120486
73,2958.4,1.03459,1.02496,1.09491,0.51527,0.65006,0.61102,0.39666,1.11219,1.1453,1.09316,0.00119317,0.00119317,0.00119317
74,2998.06,1.042,1.01251,1.09703,0.50456,0.60833,0.58546,0.38097,1.09975,1.24221,1.08172,0.0011814,0.0011814,0.0011814
75,3037.25,1.03863,1.0341,1.09776,0.57075,0.63602,0.63545,0.41662,1.09839,1.10827,1.08573,0.00116955,0.00116955,0.00116955
76,3077.04,1.03233,1.02319,1.0961,0.57426,0.63945,0.63809,0.41611,1.10601,1.11294,1.0939,0.00115761,0.00115761,0.00115761
77,3116.21,1.03487,1.01098,1.09418,0.57269,0.65328,0.64832,0.42097,1.1108,1.09192,1.09537,0.0011456,0.0011456,0.0011456
78,3157.46,1.03948,1.01613,1.09803,0.59235,0.6388,0.64453,0.42165,1.10232,1.11162,1.09653,0.00113351,0.00113351,0.00113351
79,3197.86,1.02608,1.01113,1.09333,0.56987,0.63454,0.62622,0.40854,1.10817,1.12579,1.09091,0.00112135,0.00112135,0.00112135
80,3237.02,1.03354,1.00942,1.09472,0.56266,0.64103,0.63366,0.41039,1.0992,1.13267,1.0903,0.00110912,0.00110912,0.00110912
81,3276.49,1.02936,1.00172,1.09294,0.56257,0.64755,0.63696,0.41333,1.09831,1.10559,1.08922,0.00109683,0.00109683,0.00109683
82,3316.73,1.02611,1.00097,1.09169,0.57913,0.65052,0.64022,0.41554,1.10286,1.13264,1.09204,0.00108447,0.00108447,0.00108447
83,3356.51,1.03071,1.00555,1.09416,0.53088,0.64477,0.62341,0.40454,1.1141,1.13202,1.09462,0.00107205,0.00107205,0.00107205
84,3396.76,1.02697,1.0003,1.09087,0.57472,0.65781,0.64429,0.4185,1.11034,1.09015,1.09435,0.00105957,0.00105957,0.00105957
85,3436.77,1.03017,0.9938,1.09285,0.57692,0.64594,0.63389,0.41221,1.11115,1.10468,1.0954,0.00104705,0.00104705,0.00104705
86,3476.09,1.02667,0.99579,1.09107,0.56624,0.64629,0.63737,0.41577,1.10078,1.10843,1.09281,0.00103447,0.00103447,0.00103447
87,3516.07,1.02884,0.99172,1.09106,0.59491,0.64161,0.64878,0.42411,1.09641,1.09684,1.08735,0.00102184,0.00102184,0.00102184
88,3557.69,1.02914,0.98885,1.09219,0.57735,0.63958,0.63875,0.41758,1.11328,1.11245,1.09619,0.00100917,0.00100917,0.00100917
89,3599.34,1.02555,0.98439,1.09213,0.59786,0.64564,0.65444,0.42676,1.10466,1.08552,1.09314,0.000996456,0.000996456,0.000996456
90,3639.73,1.02401,0.97817,1.08902,0.5841,0.6407,0.64747,0.42287,1.09467,1.09459,1.08807,0.000983705,0.000983705,0.000983705
91,3679,1.0154,0.98365,1.08679,0.57416,0.63962,0.63689,0.41363,1.0954,1.11446,1.08896,0.000970919,0.000970919,0.000970919
92,3718.07,1.01876,0.9791,1.0905,0.58046,0.63588,0.63767,0.41448,1.11255,1.11096,1.09501,0.000958102,0.000958102,0.000958102
93,3757.35,1.01839,0.96891,1.08787,0.59537,0.65198,0.65807,0.42881,1.10211,1.07819,1.09407,0.000945256,0.000945256,0.000945256
94,3797.68,1.02142,0.96646,1.09071,0.58499,0.63779,0.64344,0.42246,1.09276,1.09697,1.08612,0.000932384,0.000932384,0.000932384
95,3837.12,1.01884,0.97887,1.08879,0.58104,0.65138,0.64935,0.42467,1.09235,1.09338,1.08247,0.00091949,0.00091949,0.00091949
96,3876.92,1.01841,0.96845,1.08797,0.55202,0.64675,0.63549,0.41516,1.10274,1.10013,1.09013,0.000906577,0.000906577,0.000906577
97,3917.04,1.01682,0.96964,1.08893,0.60591,0.63988,0.65722,0.43065,1.09783,1.07028,1.091,0.000893648,0.000893648,0.000893648
98,3956.53,1.01289,0.95822,1.08661,0.57521,0.63541,0.64036,0.4188,1.09821,1.09941,1.08761,0.000880706,0.000880706,0.000880706
