epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9553,1.71086,1.89102,1.47704,0.16857,0.60586,0.15219,0.07593,1.77721,inf,1.42709,0.000550522,0.000550522,0.000550522
2,106.186,1.33814,1.4774,1.20193,0.31398,0.47519,0.36166,0.19078,1.62336,2.32817,1.33173,0.00110612,0.00110612,0.00110612
3,142.634,1.24853,1.46246,1.16447,0.2924,0.5164,0.36418,0.20985,1.54071,1.60676,1.23773,0.00166145,0.00166145,0.00166145
4,169.735,1.22628,1.39428,1.15608,0.29161,0.59052,0.4117,0.22754,1.47251,2.40831,1.24007,0.00166608,0.00166608,0.00166608
5,196.539,1.215,1.398,1.15047,0.42926,0.59183,0.4836,0.29262,1.28089,1.39884,1.1452,0.00166537,0.00166537,0.00166537
6,222.153,1.17635,1.34974,1.13538,0.33817,0.59797,0.46817,0.28401,1.25063,1.46975,1.1261,0.00166446,0.00166446,0.00166446
7,247.033,1.16315,1.32782,1.13127,0.39729,0.56693,0.47124,0.28083,1.31534,1.46093,1.1495,0.00166334,0.00166334,0.00166334
8,272.46,1.16185,1.2966,1.12936,0.45319,0.5975,0.52102,0.31699,1.23744,1.43094,1.12038,0.00166202,0.00166202,0.00166202
9,298.247,1.14565,1.32282,1.12123,0.35515,0.61362,0.47337,0.28996,1.22312,1.45308,1.11753,0.00166049,0.00166049,0.00166049
10,323.268,1.13597,1.35157,1.11939,0.46287,0.57935,0.50163,0.3144,1.20779,1.36932,1.10645,0.00165877,0.00165877,0.00165877
11,348.939,1.13234,1.29773,1.11678,0.39711,0.62106,0.51047,0.3183,1.19762,1.40316,1.1037,0.00165684,0.00165684,0.00165684
12,374.838,1.13128,1.27145,1.1166,0.46328,0.6061,0.54116,0.33692,1.26302,1.29321,1.13293,0.00165471,0.00165471,0.00165471
13,401.222,1.13415,1.28728,1.11741,0.46319,0.61141,0.53801,0.32308,1.32886,1.29161,1.16585,0.00165238,0.00165238,0.00165238
14,426.388,1.11881,1.25158,1.10964,0.47063,0.60252,0.52823,0.32426,1.27747,1.31898,1.14184,0.00164986,0.00164986,0.00164986
15,451.571,1.11134,1.26756,1.10947,0.46979,0.60455,0.53726,0.31305,1.45015,1.31682,1.20964,0.00164713,0.00164713,0.00164713
16,477.114,1.11535,1.24153,1.11061,0.42305,0.62472,0.51208,0.31073,1.30353,1.32737,1.15428,0.0016442,0.0016442,0.0016442
17,502.766,1.10106,1.24678,1.10668,0.46931,0.59581,0.54235,0.33741,1.30981,1.33615,1.1485,0.00164108,0.00164108,0.00164108
18,528.606,1.10255,1.24332,1.10683,0.38046,0.61549,0.51534,0.31898,1.24849,1.36243,1.11494,0.00163775,0.00163775,0.00163775
19,553.98,1.10119,1.21402,1.10428,0.47851,0.60406,0.54105,0.33751,1.27896,1.29119,1.13453,0.00163424,0.00163424,0.00163424
20,579.332,1.10302,1.22529,1.10503,0.47902,0.58134,0.51539,0.32068,1.26221,1.37423,1.12897,0.00163052,0.00163052,0.00163052
21,605.209,1.0975,1.2194,1.10372,0.47213,0.58725,0.50844,0.31464,1.2795,1.50012,1.14248,0.00162661,0.00162661,0.00162661
22,630.491,1.08987,1.21736,1.10191,0.48011,0.598,0.54758,0.34321,1.18885,1.27684,1.10648,0.00162251,0.00162251,0.00162251
23,655.98,1.08359,1.19038,1.10022,0.525,0.61303,0.58672,0.37048,1.2157,1.23207,1.11587,0.00161822,0.00161822,0.00161822
24,681.221,1.08366,1.21434,1.10168,0.45668,0.57185,0.50897,0.31921,1.16941,1.39588,1.10238,0.00161373,0.00161373,0.00161373
25,706.676,1.09494,1.19819,1.10441,0.45948,0.57164,0.53415,0.33401,1.25316,1.4053,1.13021,0.00160905,0.00160905,0.00160905
26,731.746,1.08802,1.18068,1.10214,0.497,0.62256,0.57733,0.3647,1.20335,1.24971,1.12189,0.00160419,0.00160419,0.00160419
27,757.219,1.08661,1.19369,1.10056,0.48511,0.60108,0.54839,0.34352,1.21497,1.2405,1.11136,0.00159913,0.00159913,0.00159913
28,783.021,1.09134,1.19549,1.10202,0.47149,0.61426,0.56524,0.35899,1.1783,1.25567,1.09885,0.00159389,0.00159389,0.00159389
29,808.632,1.08319,1.16495,1.1011,0.50637,0.61261,0.57728,0.36569,1.18472,1.25956,1.10309,0.00158847,0.00158847,0.00158847
30,833.707,1.07448,1.21758,1.09622,0.38273,0.63612,0.54543,0.34437,1.15118,1.40223,1.08069,0.00158286,0.00158286,0.00158286
31,858.206,1.07796,1.17468,1.0964,0.52726,0.61686,0.58314,0.37048,1.19077,1.22344,1.10656,0.00157706,0.00157706,0.00157706
32,883.763,1.09453,1.16219,1.1039,0.46457,0.62303,0.56255,0.3491,1.25417,1.2505,1.13299,0.00157109,0.00157109,0.00157109
33,909.427,1.07511,1.14647,1.09409,0.52359,0.61291,0.58089,0.36776,1.1974,1.23235,1.10865,0.00156493,0.00156493,0.00156493
34,934.413,1.08294,1.17487,1.09915,0.42149,0.50171,0.459,0.28711,1.25453,1.5538,1.13209,0.0015586,0.0015586,0.0015586
35,960.202,1.07608,1.16634,1.09605,0.51514,0.6146,0.59022,0.37759,1.15878,1.21398,1.09474,0.00155209,0.00155209,0.00155209
36,986.092,1.07769,1.16484,1.09535,0.5202,0.62224,0.58485,0.37107,1.18503,1.21896,1.10435,0.0015454,0.0015454,0.0015454
37,1011.79,1.07328,1.13186,1.09474,0.522,0.62727,0.58599,0.36947,1.26579,1.19797,1.13489,0.00153854,0.00153854,0.00153854
38,1037.4,1.0686,1.13839,1.09242,0.47914,0.61509,0.56608,0.36094,1.1648,1.22892,1.10097,0.00153151,0.00153151,0.00153151
39,1062.72,1.07001,1.13467,1.09436,0.47495,0.57348,0.52962,0.33149,1.19441,1.35729,1.10932,0.00152431,0.00152431,0.00152431
40,1087.58,1.07308,1.13849,1.09516,0.54044,0.62312,0.60071,0.38772,1.15561,1.20716,1.08939,0.00151694,0.00151694,0.00151694
41,1113.31,1.06743,1.14002,1.0898,0.5412,0.63072,0.61424,0.39255,1.14009,1.18838,1.08811,0.00150941,0.00150941,0.00150941
42,1139.24,1.06329,1.11445,1.09258,0.5003,0.63418,0.58833,0.37642,1.15625,1.19397,1.09222,0.00150171,0.00150171,0.00150171
43,1164.42,1.05822,1.108,1.08642,0.5049,0.60309,0.57756,0.36449,1.17873,1.23786,1.10247,0.00149384,0.00149384,0.00149384
44,1189.99,1.06451,1.11887,1.09453,0.54289,0.63405,0.6104,0.3935,1.1332,1.16221,1.08698,0.00148582,0.00148582,0.00148582
45,1215.39,1.06181,1.11088,1.09053,0.53444,0.62851,0.6048,0.38767,1.15403,1.18652,1.09649,0.00147764,0.00147764,0.00147764
46,1240.58,1.06852,1.11458,1.09132,0.53516,0.61543,0.59449,0.37776,1.18724,1.18559,1.10666,0.0014693,0.0014693,0.0014693
47,1265.44,1.05903,1.10425,1.08816,0.53803,0.62098,0.60338,0.38232,1.1713,1.20735,1.09977,0.0014608,0.0014608,0.0014608
48,1290.26,1.05362,1.10195,1.08994,0.53552,0.6338,0.60919,0.38613,1.17001,1.18791,1.10141,0.00145215,0.00145215,0.00145215
49,1315.57,1.06397,1.0981,1.0905,0.546,0.61998,0.60992,0.39291,1.1225,1.17828,1.07568,0.00144335,0.00144335,0.00144335
50,1341.31,1.06286,1.10021,1.08805,0.5324,0.62582,0.60444,0.38445,1.15791,1.21684,1.08781,0.00143441,0.00143441,0.00143441
51,1367.01,1.05516,1.11201,1.08692,0.55345,0.63857,0.6064,0.38576,1.19874,1.22586,1.10898,0.00142531,0.00142531,0.00142531
