epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2967,1.77117,1.9183,1.50829,0.27054,0.60461,0.32515,0.16887,1.67278,2.56859,1.30122,0.000550522,0.000550522,0.000550522
2,52.3638,1.32538,1.46025,1.19031,0.32322,0.48152,0.3937,0.21642,1.50327,2.33821,1.20502,0.00110612,0.00110612,0.00110612
3,76.1063,1.27835,1.4345,1.17253,0.38487,0.57511,0.46719,0.25427,1.62484,1.53531,1.29997,0.00166145,0.00166145,0.00166145
4,99.1521,1.23423,1.37429,1.15317,0.38385,0.59611,0.46838,0.28559,1.274,1.44639,1.1248,0.00166608,0.00166608,0.00166608
5,123.855,1.20638,1.37445,1.13976,0.3982,0.53483,0.43384,0.26308,1.33521,1.49318,1.14924,0.00166537,0.00166537,0.00166537
6,146.683,1.17851,1.33049,1.12904,0.34995,0.58017,0.4551,0.27499,1.24888,1.49487,1.12596,0.00166446,0.00166446,0.00166446
7,169.428,1.15491,1.32024,1.11896,0.422,0.59389,0.5077,0.31607,1.19799,1.37357,1.08927,0.00166334,0.00166334,0.00166334
8,192.695,1.15276,1.28776,1.11552,0.37877,0.57395,0.47379,0.28069,1.28155,1.46152,1.11243,0.00166202,0.00166202,0.00166202
9,215.236,1.1472,1.29493,1.11253,0.44026,0.59753,0.50246,0.31656,1.19146,1.32914,1.08581,0.00166049,0.00166049,0.00166049
10,238.058,1.14061,1.31021,1.10686,0.49354,0.59513,0.53097,0.32691,1.25751,1.38278,1.1148,0.00165877,0.00165877,0.00165877
11,261.123,1.14031,1.27875,1.11498,0.27854,0.59302,0.44238,0.26724,1.21035,1.80576,1.09648,0.00165684,0.00165684,0.00165684
12,283.771,1.13357,1.25155,1.11341,0.42006,0.58274,0.50258,0.31546,1.17828,1.38509,1.09671,0.00165471,0.00165471,0.00165471
13,306.995,1.12022,1.25524,1.10606,0.5016,0.5886,0.54462,0.33857,1.15886,1.32155,1.08381,0.00165238,0.00165238,0.00165238
14,330.171,1.11941,1.25591,1.10396,0.45209,0.58078,0.51943,0.32211,1.22359,1.35495,1.11698,0.00164986,0.00164986,0.00164986
15,353.251,1.10734,1.24501,1.10395,0.4572,0.59525,0.53413,0.33822,1.17469,1.29642,1.09553,0.00164713,0.00164713,0.00164713
16,376.499,1.11624,1.23062,1.10475,0.46026,0.61752,0.54608,0.34575,1.16453,1.27239,1.09189,0.0016442,0.0016442,0.0016442
17,399.823,1.10864,1.23112,1.10541,0.50002,0.59804,0.55226,0.3506,1.16697,1.302,1.08738,0.00164108,0.00164108,0.00164108
18,423.093,1.10069,1.23704,1.09869,0.43224,0.61366,0.54644,0.34062,1.1721,1.40745,1.08313,0.00163775,0.00163775,0.00163775
19,445.975,1.10181,1.2189,1.09598,0.49442,0.60394,0.56484,0.36201,1.15182,1.24668,1.08688,0.00163424,0.00163424,0.00163424
20,470.271,1.10614,1.21318,1.10152,0.50958,0.62027,0.56167,0.35589,1.14021,1.2846,1.08435,0.00163052,0.00163052,0.00163052
21,493.359,1.10137,1.20447,1.09901,0.50562,0.60695,0.54043,0.34296,1.18544,1.38262,1.09998,0.00162661,0.00162661,0.00162661
22,516.393,1.09265,1.21014,1.09505,0.48992,0.58562,0.55639,0.35412,1.12324,1.27265,1.07167,0.00162251,0.00162251,0.00162251
23,540.035,1.09189,1.18247,1.09583,0.43465,0.6129,0.54611,0.34591,1.12262,1.29655,1.06171,0.00161822,0.00161822,0.00161822
24,563.582,1.10793,1.18208,1.10012,0.47785,0.60185,0.55232,0.34837,1.16977,1.2949,1.09174,0.00161373,0.00161373,0.00161373
25,586.68,1.09821,1.17797,1.09872,0.51684,0.59069,0.56129,0.35989,1.12186,1.32682,1.07126,0.00160905,0.00160905,0.00160905
26,610.603,1.08462,1.17276,1.09439,0.5006,0.58584,0.55419,0.35739,1.12588,1.30302,1.07756,0.00160419,0.00160419,0.00160419
27,640.324,1.08592,1.1804,1.0924,0.51009,0.60721,0.5669,0.36205,1.13763,1.29094,1.08552,0.00159913,0.00159913,0.00159913
28,663.993,1.09096,1.18421,1.0942,0.51389,0.62443,0.5976,0.38474,1.12338,1.22077,1.07112,0.00159389,0.00159389,0.00159389
29,686.805,1.08045,1.15409,1.091,0.5071,0.61856,0.58019,0.36863,1.13656,1.22332,1.079,0.00158847,0.00158847,0.00158847
30,709.687,1.07865,1.18377,1.09211,0.41993,0.60987,0.52939,0.33476,1.12461,1.34077,1.07192,0.00158286,0.00158286,0.00158286
31,732.233,1.08134,1.16588,1.09052,0.53714,0.61439,0.59987,0.38309,1.13124,1.20068,1.06988,0.00157706,0.00157706,0.00157706
32,754.767,1.09016,1.15989,1.09592,0.53379,0.62332,0.5957,0.37693,1.20072,1.20186,1.10524,0.00157109,0.00157109,0.00157109
33,777.535,1.07447,1.12977,1.08816,0.51069,0.63989,0.59957,0.386,1.11754,1.18744,1.07579,0.00156493,0.00156493,0.00156493
34,805.096,1.07899,1.15482,1.09001,0.49783,0.61573,0.57454,0.3663,1.14903,1.21766,1.08293,0.0015586,0.0015586,0.0015586
35,827.77,1.07118,1.1519,1.08775,0.5067,0.61009,0.5779,0.37111,1.11785,1.21008,1.06397,0.00155209,0.00155209,0.00155209
36,850.475,1.07232,1.15491,1.08738,0.53489,0.62366,0.59332,0.37882,1.15169,1.19672,1.0828,0.0015454,0.0015454,0.0015454
37,873.184,1.06969,1.13431,1.08762,0.52587,0.63097,0.60502,0.38583,1.14357,1.1824,1.0731,0.00153854,0.00153854,0.00153854
38,896.128,1.07066,1.12762,1.08901,0.5394,0.62453,0.59687,0.3828,1.13508,1.18871,1.09048,0.00153151,0.00153151,0.00153151
39,918.658,1.07865,1.12612,1.08918,0.49481,0.58122,0.54456,0.34322,1.16423,1.28616,1.09046,0.00152431,0.00152431,0.00152431
40,940.938,1.08031,1.13093,1.09074,0.52835,0.62045,0.60578,0.38352,1.1573,1.20837,1.07519,0.00151694,0.00151694,0.00151694
41,963.876,1.08165,1.13324,1.08986,0.55615,0.59656,0.59211,0.38276,1.12056,1.22248,1.0785,0.00150941,0.00150941,0.00150941
42,987.4,1.06455,1.11665,1.08491,0.54732,0.6253,0.61107,0.39231,1.10834,1.17431,1.06318,0.00150171,0.00150171,0.00150171
43,1011.53,1.05968,1.09559,1.08144,0.49706,0.61777,0.59283,0.37995,1.12228,1.21377,1.07147,0.00149384,0.00149384,0.00149384
44,1034.46,1.06499,1.12145,1.08722,0.54976,0.62133,0.60093,0.3893,1.11792,1.22607,1.07797,0.00148582,0.00148582,0.00148582
45,1067.49,1.06084,1.11018,1.08557,0.5042,0.63523,0.58296,0.37574,1.10496,1.2065,1.06778,0.00147764,0.00147764,0.00147764
46,1091.62,1.05891,1.10934,1.08213,0.57053,0.62612,0.62122,0.40113,1.09697,1.16567,1.06809,0.0014693,0.0014693,0.0014693
47,1114.26,1.05863,1.10582,1.08244,0.54953,0.6312,0.62114,0.40305,1.10008,1.15444,1.0581,0.0014608,0.0014608,0.0014608
48,1136.99,1.07049,1.09498,1.08899,0.56798,0.61291,0.61139,0.39842,1.10738,1.19853,1.07292,0.00145215,0.00145215,0.00145215
49,1161.08,1.06379,1.08618,1.08459,0.52914,0.60675,0.58327,0.37768,1.10536,1.22325,1.06943,0.00144335,0.00144335,0.00144335
50,1183.98,1.05981,1.09899,1.08349,0.51681,0.615,0.58779,0.37507,1.12648,1.23128,1.06851,0.00143441,0.00143441,0.00143441
51,1206.4,1.0573,1.10584,1.08319,0.56831,0.63379,0.61636,0.3955,1.10995,1.21309,1.07244,0.00142531,0.00142531,0.00142531
52,1229.07,1.05687,1.08779,1.08085,0.56187,0.62436,0.61856,0.40286,1.09443,1.1782,1.05995,0.00141608,0.00141608,0.00141608
53,1251.69,1.05779,1.07635,1.08316,0.53713,0.62733,0.60089,0.38856,1.11132,1.1876,1.07457,0.0014067,0.0014067,0.0014067
54,1274.67,1.05216,1.07254,1.08002,0.53973,0.61981,0.60467,0.39195,1.11108,1.17517,1.06654,0.00139718,0.00139718,0.00139718
55,1297.61,1.05508,1.08167,1.08127,0.52997,0.60741,0.59139,0.3806,1.10718,1.1928,1.06376,0.00138753,0.00138753,0.00138753
56,1320.11,1.05895,1.08343,1.08201,0.56869,0.63552,0.61684,0.39854,1.10374,1.17292,1.07079,0.00137774,0.00137774,0.00137774
57,1342.67,1.05486,1.07259,1.08239,0.55456,0.62238,0.6103,0.3958,1.10427,1.20601,1.07015,0.00136781,0.00136781,0.00136781
58,1364.96,1.06234,1.10472,1.08124,0.52168,0.64203,0.61894,0.39572,1.13872,1.23119,1.0765,0.00135776,0.00135776,0.00135776
59,1387.73,1.0877,1.08334,1.0937,0.54624,0.63239,0.61749,0.40049,1.10015,1.1567,1.06498,0.00134758,0.00134758,0.00134758
60,1410.67,1.05379,1.07599,1.0796,0.56413,0.64084,0.62834,0.4097,1.09685,1.14758,1.05837,0.00133728,0.00133728,0.00133728
61,1433.26,1.04564,1.06431,1.07558,0.5364,0.61522,0.60562,0.39401,1.10783,1.18124,1.07168,0.00132685,0.00132685,0.00132685
62,1455.86,1.04748,1.06967,1.07748,0.5621,0.62019,0.60851,0.39456,1.10396,1.19681,1.07316,0.00131631,0.00131631,0.00131631
63,1478.06,1.04685,1.06883,1.0763,0.56239,0.64214,0.63265,0.41118,1.10996,1.14102,1.06767,0.00130565,0.00130565,0.00130565
64,1501.07,1.05332,1.0631,1.08082,0.54988,0.63501,0.61967,0.40217,1.10815,1.15307,1.06557,0.00129487,0.00129487,0.00129487
65,1523.87,1.04213,1.06673,1.07842,0.53467,0.62601,0.61457,0.40041,1.09937,1.1674,1.06155,0.00128398,0.00128398,0.00128398
66,1546.77,1.04811,1.0581,1.07911,0.57787,0.65125,0.63944,0.41735,1.09005,1.14806,1.06659,0.00127298,0.00127298,0.00127298
67,1569.52,1.04502,1.0369,1.07611,0.57824,0.64113,0.6429,0.41828,1.10678,1.11983,1.06836,0.00126188,0.00126188,0.00126188
68,1592.6,1.04265,1.03998,1.07357,0.59564,0.62773,0.63885,0.41685,1.10375,1.13873,1.06378,0.00125067,0.00125067,0.00125067
69,1616.66,1.04824,1.04302,1.07815,0.52359,0.63969,0.60231,0.39312,1.10442,1.15591,1.06485,0.00123936,0.00123936,0.00123936
70,1639.73,1.04301,1.03386,1.0771,0.55833,0.65277,0.63371,0.41355,1.10291,1.13925,1.06541,0.00122795,0.00122795,0.00122795
71,1662.75,1.03734,1.04062,1.07333,0.57239,0.62461,0.62966,0.40859,1.09579,1.14483,1.06504,0.00121645,0.00121645,0.00121645
72,1685.89,1.0435,1.03954,1.07426,0.58334,0.62661,0.62732,0.41072,1.0916,1.16702,1.06402,0.00120486,0.00120486,0.00120486
73,1708.73,1.04181,1.03548,1.07714,0.55941,0.64198,0.6329,0.41555,1.09618,1.133,1.0646,0.00119317,0.00119317,0.00119317
74,1732.35,1.0443,1.02426,1.07634,0.56751,0.63166,0.63428,0.41425,1.08869,1.1415,1.06203,0.0011814,0.0011814,0.0011814
75,1755.61,1.0419,1.0431,1.07722,0.58678,0.63929,0.64017,0.41753,1.09699,1.12625,1.06057,0.00116955,0.00116955,0.00116955
76,1778.59,1.03181,1.01937,1.07316,0.55137,0.63332,0.61905,0.40313,1.10712,1.15428,1.06938,0.00115761,0.00115761,0.00115761
77,1801.53,1.0409,1.02574,1.07387,0.59976,0.6257,0.64336,0.41786,1.11341,1.1196,1.06768,0.0011456,0.0011456,0.0011456
78,1824.22,1.04163,1.02114,1.07333,0.57173,0.64681,0.63612,0.41987,1.10491,1.12075,1.06648,0.00113351,0.00113351,0.00113351
79,1847.56,1.03724,1.01725,1.07457,0.58916,0.63649,0.63487,0.41618,1.09136,1.14888,1.06536,0.00112135,0.00112135,0.00112135
80,1870.06,1.03733,1.01215,1.07418,0.57799,0.6487,0.64648,0.42135,1.10217,1.13508,1.06666,0.00110912,0.00110912,0.00110912
81,1893.28,1.03928,1.01136,1.07195,0.58747,0.64751,0.6465,0.42202,1.09103,1.11584,1.06207,0.00109683,0.00109683,0.00109683
82,1916.69,1.02962,1.00012,1.06994,0.57546,0.6441,0.63126,0.41038,1.09847,1.14137,1.06536,0.00108447,0.00108447,0.00108447
83,1939.6,1.03554,1.00929,1.07165,0.59227,0.64103,0.64087,0.41744,1.09624,1.12915,1.06383,0.00107205,0.00107205,0.00107205
84,1962.83,1.0328,1.01536,1.06788,0.57944,0.64808,0.64033,0.41888,1.10548,1.11013,1.06574,0.00105957,0.00105957,0.00105957
85,1985.91,1.03671,0.99818,1.07091,0.59672,0.63449,0.63133,0.41215,1.10384,1.14447,1.06613,0.00104705,0.00104705,0.00104705
86,2009.45,1.03639,1.00644,1.07326,0.58486,0.63437,0.64167,0.41798,1.1056,1.11939,1.06875,0.00103447,0.00103447,0.00103447
87,2032.08,1.03465,1.00156,1.07055,0.59146,0.6446,0.64828,0.42549,1.08957,1.11602,1.06402,0.00102184,0.00102184,0.00102184
88,2055.32,1.03028,0.99925,1.07031,0.59478,0.64243,0.6478,0.42499,1.10207,1.11025,1.06776,0.00100917,0.00100917,0.00100917
89,2079.64,1.02669,0.98578,1.06862,0.59067,0.65615,0.6475,0.42365,1.09282,1.11671,1.06203,0.000996456,0.000996456,0.000996456
90,2102.61,1.03294,0.99028,1.07059,0.60128,0.64384,0.65125,0.4249,1.10477,1.11118,1.07162,0.000983705,0.000983705,0.000983705
91,2125.52,1.02409,0.9846,1.06718,0.58842,0.65857,0.64365,0.42133,1.09344,1.11241,1.06074,0.000970919,0.000970919,0.000970919
