epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0893,1.65425,1.79871,1.49944,0.03756,0.53784,0.03703,0.01497,2.12767,inf,1.71928,0.000550522,0.000550522,0.000550522
2,93.9641,1.37583,1.5078,1.2568,0.01028,0.032,0.00803,0.00474,nan,nan,nan,0.00110612,0.00110612,0.00110612
3,129.414,1.34989,1.4734,1.23788,0.23417,0.55067,0.3609,0.18841,1.6731,2.04974,1.33378,0.00166145,0.00166145,0.00166145
4,164.059,1.33182,1.39814,1.22404,0.2703,0.6092,0.42847,0.21782,1.84042,1.69025,1.41356,0.00166608,0.00166608,0.00166608
5,198.583,1.3185,1.38816,1.21723,0.41261,0.58392,0.45607,0.23683,1.75461,1.53358,1.38538,0.00166537,0.00166537,0.00166537
6,233.133,1.30299,1.36991,1.20728,0.34135,0.39682,0.30763,0.15476,1.80949,1.87891,1.44262,0.00166446,0.00166446,0.00166446
7,266.174,1.31751,1.38444,1.21592,0.35774,0.54188,0.39861,0.20796,1.77829,1.63115,1.37656,0.00166334,0.00166334,0.00166334
8,299.764,1.29702,1.33355,1.20399,0.3578,0.56485,0.44591,0.23782,1.70235,1.45426,1.36841,0.00166202,0.00166202,0.00166202
9,333.418,1.31883,1.34091,1.21112,0.3865,0.58435,0.44902,0.22852,1.81805,1.42393,1.43239,0.00166049,0.00166049,0.00166049
10,366.988,1.28584,1.32854,1.19622,0.41783,0.60362,0.50691,0.26483,1.76753,1.36791,1.39996,0.00165877,0.00165877,0.00165877
11,400.88,1.30068,1.31192,1.20338,0.38868,0.58301,0.48304,0.26791,1.60275,1.44119,1.30937,0.00165684,0.00165684,0.00165684
12,435.064,1.28431,1.30971,1.19637,0.36695,0.57875,0.4763,0.25036,1.76288,1.5427,1.37434,0.00165471,0.00165471,0.00165471
13,470.219,1.27852,1.29378,1.19178,0.44572,0.59901,0.51381,0.27769,1.66312,1.35218,1.33472,0.00165238,0.00165238,0.00165238
14,506.007,1.29707,1.2718,1.19967,0.41776,0.58955,0.50341,0.263,1.75442,1.3765,1.37699,0.00164986,0.00164986,0.00164986
15,539.549,1.27398,1.2867,1.19216,0.38056,0.61844,0.50125,0.26419,1.72791,1.39546,1.36434,0.00164713,0.00164713,0.00164713
16,572.84,1.25865,1.24878,1.1847,0.43681,0.606,0.52777,0.27512,1.7734,1.38704,1.40923,0.0016442,0.0016442,0.0016442
17,606.345,1.2706,1.25004,1.19328,0.44243,0.58702,0.50641,0.25776,1.83676,1.38692,1.43777,0.00164108,0.00164108,0.00164108
18,639.747,1.26351,1.2498,1.18835,0.42966,0.61221,0.52492,0.27897,1.69177,1.36148,1.34711,0.00163775,0.00163775,0.00163775
19,673.379,1.27373,1.23297,1.19146,0.4444,0.57913,0.49082,0.27352,1.64242,1.3934,1.3318,0.00163424,0.00163424,0.00163424
