epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.919,2.06041,2.06397,1.59479,0.35835,0.56845,0.44132,0.23518,1.57145,1.57219,1.4323,0.00332715,0.00332715,0.00332715
2,313.228,1.62635,1.56675,1.28029,0.4011,0.49036,0.40627,0.1863,1.74555,1.75421,1.45742,0.00666008,0.00666008,0.00666008
3,437.64,1.64436,1.5991,1.28165,0.2,0.50948,0.284,0.08844,2.30981,2.99043,1.72207,0.00999137,0.00999137,0.00999137
4,565.123,1.65017,1.6026,1.27893,0.34405,0.49361,0.38666,0.20587,1.51953,1.78206,1.34608,0.0099945,0.0099945,0.0099945
5,751.959,1.58358,1.56372,1.25091,0.31342,0.55732,0.417,0.20868,1.62132,1.808,1.35279,0.00999023,0.00999023,0.00999023
6,925.166,1.52782,1.51331,1.224,0.27686,0.57095,0.3931,0.19505,1.57698,1.82408,1.34656,0.00998474,0.00998474,0.00998474
7,1063.21,1.48227,1.49192,1.20287,0.33769,0.59708,0.44034,0.23733,1.52632,1.6059,1.31179,0.00997803,0.00997803,0.00997803
8,1193.61,1.45893,1.45807,1.19215,0.4272,0.55048,0.46246,0.23174,1.66374,1.53747,1.37164,0.00997011,0.00997011,0.00997011
9,1332.67,1.42895,1.44841,1.18569,0.334,0.59124,0.44325,0.25878,1.34148,1.53687,1.23319,0.00996097,0.00996097,0.00996097
10,1458.38,1.40659,1.42621,1.17554,0.4146,0.59775,0.49764,0.29528,1.28853,1.4719,1.21751,0.00995062,0.00995062,0.00995062
11,1598.04,1.39089,1.41202,1.16347,0.41727,0.55561,0.46452,0.27592,1.31014,1.48005,1.20611,0.00993906,0.00993906,0.00993906
12,1730.02,1.37698,1.39999,1.16441,0.4315,0.55585,0.47955,0.26425,1.52228,1.47633,1.30098,0.00992629,0.00992629,0.00992629
13,1876.03,1.37214,1.39644,1.16311,0.41063,0.57594,0.44672,0.25627,1.40877,1.55586,1.24981,0.00991232,0.00991232,0.00991232
14,2031.14,1.35146,1.37667,1.14886,0.43491,0.56233,0.48472,0.27114,1.41058,1.46655,1.25037,0.00989715,0.00989715,0.00989715
15,2151.27,1.33919,1.37367,1.14546,0.41958,0.57446,0.48648,0.29548,1.25248,1.45595,1.18609,0.00988079,0.00988079,0.00988079
16,2286.72,1.33283,1.36361,1.14156,0.40481,0.58261,0.4791,0.27418,1.38324,1.4441,1.23832,0.00986323,0.00986323,0.00986323
17,2416.6,1.32837,1.35745,1.14151,0.45675,0.59084,0.5105,0.30454,1.28561,1.43807,1.19809,0.00984449,0.00984449,0.00984449
18,2538.79,1.32399,1.35397,1.14561,0.45807,0.58627,0.51725,0.31591,1.25151,1.37742,1.19959,0.00982456,0.00982456,0.00982456
19,2662.9,1.31484,1.3429,1.13925,0.45441,0.57031,0.49936,0.31195,1.20871,1.43151,1.17876,0.00980345,0.00980345,0.00980345
20,2824.24,1.29842,1.33489,1.12976,0.44464,0.57755,0.51022,0.2931,1.39568,1.4047,1.23532,0.00978118,0.00978118,0.00978118
21,2997.91,1.29445,1.32545,1.13404,0.44998,0.59173,0.50929,0.29319,1.40519,1.40531,1.24373,0.00975773,0.00975773,0.00975773
22,3186.52,1.29926,1.3299,1.13454,0.46019,0.57659,0.51986,0.30918,1.33854,1.37684,1.22329,0.00973312,0.00973312,0.00973312
23,3370.39,1.29129,1.31398,1.13041,0.4516,0.59319,0.51988,0.31008,1.32534,1.37698,1.2182,0.00970736,0.00970736,0.00970736
24,3543.62,1.28603,1.30744,1.12885,0.43646,0.59192,0.50841,0.30323,1.31982,1.3909,1.20821,0.00968045,0.00968045,0.00968045
25,3723.53,1.27565,1.31341,1.12485,0.43647,0.60068,0.52395,0.31171,1.32807,1.363,1.21183,0.00965239,0.00965239,0.00965239
26,3902.18,1.27859,1.30048,1.12509,0.46213,0.60554,0.53167,0.33627,1.15406,1.34049,1.15266,0.0096232,0.0096232,0.0096232
27,4076.12,1.27292,1.30707,1.12128,0.46045,0.57515,0.51075,0.2814,1.54351,1.39625,1.30701,0.00959289,0.00959289,0.00959289
28,4252.36,1.27547,1.29009,1.12205,0.47745,0.5923,0.52921,0.32479,1.25095,1.34649,1.18487,0.00956145,0.00956145,0.00956145
29,4410.08,1.26708,1.29343,1.12168,0.486,0.58504,0.53804,0.30341,1.47969,1.35101,1.27888,0.00952889,0.00952889,0.00952889
30,4594.38,1.26604,1.28749,1.11959,0.47959,0.59332,0.5373,0.31166,1.4373,1.32476,1.26579,0.00949524,0.00949524,0.00949524
31,4776.09,1.26239,1.28415,1.11849,0.48253,0.59238,0.54197,0.32273,1.34559,1.33292,1.22311,0.00946048,0.00946048,0.00946048
32,4965.31,1.25048,1.28375,1.11308,0.4729,0.58143,0.52631,0.30926,1.40743,1.33444,1.2492,0.00942464,0.00942464,0.00942464
33,5144.72,1.25345,1.27044,1.11676,0.46825,0.58627,0.5265,0.29616,1.51634,1.3634,1.29414,0.00938772,0.00938772,0.00938772
