epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.838,2.08709,2.13789,1.60359,0.27137,0.25166,0.21271,0.0713,2.14348,2.55321,1.86135,0.00332715,0.00332715,0.00332715
2,320.871,1.63403,1.58003,1.27589,0.38429,0.48459,0.41714,0.22789,1.51482,1.68975,1.34786,0.00665886,0.00665886,0.00665886
3,478.311,1.643,1.6019,1.27446,0.26828,0.54624,0.37886,0.2005,1.59351,2.6303,1.38935,0.00998405,0.00998405,0.00998405
4,633.969,1.6345,1.58937,1.26606,0.32489,0.51466,0.38212,0.16776,1.80869,1.76225,1.45919,0.00997803,0.00997803,0.00997803
5,789.261,1.57571,1.55643,1.24409,0.3664,0.55277,0.43742,0.21561,1.71161,1.69806,1.38384,0.00996097,0.00996097,0.00996097
6,945.087,1.51017,1.49843,1.21143,0.31925,0.54829,0.38946,0.17675,1.69162,1.69271,1.38386,0.00993906,0.00993906,0.00993906
7,1100.03,1.47506,1.47778,1.19749,0.39156,0.56124,0.45435,0.23458,1.5767,1.55415,1.31287,0.00991232,0.00991232,0.00991232
8,1256.21,1.4485,1.44991,1.18525,0.35359,0.53398,0.42022,0.19051,1.8666,1.82949,1.47887,0.00988079,0.00988079,0.00988079
9,1411.64,1.42473,1.44097,1.18085,0.41538,0.59138,0.48028,0.28775,1.29074,1.45713,1.20448,0.00984449,0.00984449,0.00984449
10,1567.58,1.41018,1.41892,1.1721,0.40485,0.59522,0.49354,0.28635,1.369,1.47746,1.24142,0.00980345,0.00980345,0.00980345
11,1723.52,1.39506,1.4037,1.16165,0.39208,0.60311,0.47957,0.27167,1.44177,1.48947,1.25362,0.00975773,0.00975773,0.00975773
12,1879.12,1.37531,1.38754,1.16002,0.39651,0.58014,0.46922,0.25522,1.55746,1.5104,1.3113,0.00970736,0.00970736,0.00970736
13,2034.05,1.37153,1.38319,1.15817,0.44612,0.57676,0.49915,0.26749,1.60072,1.46879,1.32012,0.00965239,0.00965239,0.00965239
14,2188.91,1.34605,1.36533,1.14197,0.41427,0.53921,0.44587,0.24712,1.52528,1.54561,1.29669,0.00959289,0.00959289,0.00959289
15,2344.64,1.33913,1.36187,1.14181,0.41479,0.57826,0.49687,0.28266,1.41048,1.44483,1.24594,0.00952889,0.00952889,0.00952889
16,2501.03,1.32859,1.35135,1.135,0.4014,0.5876,0.49478,0.26898,1.50351,1.44702,1.28727,0.00946048,0.00946048,0.00946048
17,2656.41,1.32671,1.34188,1.13716,0.46425,0.5783,0.50786,0.28743,1.45218,1.40457,1.26456,0.00938772,0.00938772,0.00938772
18,2812.81,1.32164,1.33613,1.13908,0.43779,0.57704,0.50351,0.28903,1.38728,1.42491,1.23395,0.00931067,0.00931067,0.00931067
19,2969.05,1.31387,1.33263,1.13411,0.46301,0.59207,0.51617,0.30291,1.42097,1.3909,1.2564,0.00922942,0.00922942,0.00922942
20,3124.68,1.29758,1.32112,1.12495,0.45377,0.57979,0.51593,0.28947,1.48766,1.40528,1.2711,0.00914405,0.00914405,0.00914405
21,3279.45,1.29264,1.31205,1.12844,0.44911,0.55706,0.48971,0.27252,1.55735,1.4609,1.31537,0.00905463,0.00905463,0.00905463
22,3434.68,1.29708,1.31917,1.12905,0.44011,0.58997,0.50935,0.30326,1.35742,1.39129,1.21847,0.00896127,0.00896127,0.00896127
23,3590.52,1.28675,1.3007,1.12297,0.4491,0.57644,0.50058,0.26813,1.62253,1.42784,1.34115,0.00886404,0.00886404,0.00886404
24,3745.12,1.27916,1.29511,1.12123,0.46345,0.57022,0.51717,0.29633,1.43641,1.39817,1.24965,0.00876305,0.00876305,0.00876305
25,3899.94,1.27244,1.29661,1.11839,0.46243,0.59476,0.51842,0.30349,1.39221,1.38629,1.22606,0.00865839,0.00865839,0.00865839
26,4054.85,1.27478,1.28235,1.11936,0.46167,0.59488,0.52976,0.30684,1.46914,1.36374,1.26354,0.00855018,0.00855018,0.00855018
27,4211.08,1.26891,1.28646,1.11386,0.45288,0.58031,0.51418,0.30627,1.33955,1.37055,1.20779,0.00843851,0.00843851,0.00843851
