epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.7759,2.12835,2.06503,1.59204,0.29671,0.45348,0.32445,0.11243,2.12838,1.97585,1.69352,0.00332715,0.00332715,0.00332715
2,194.548,1.67206,1.61763,1.28861,0.39998,0.36286,0.3667,0.18819,1.65346,1.93976,1.44537,0.00666008,0.00666008,0.00666008
3,287.919,1.66665,1.62396,1.27977,0.34592,0.48276,0.37085,0.18802,1.63342,1.7929,1.38904,0.00999137,0.00999137,0.00999137
4,382.341,1.6376,1.60187,1.26108,0.33469,0.42052,0.33858,0.15713,1.76831,1.9608,1.42836,0.0099945,0.0099945,0.0099945
5,476.936,1.58661,1.5672,1.24199,0.35467,0.54688,0.42046,0.20874,1.66267,1.72495,1.3536,0.00999023,0.00999023,0.00999023
6,569.128,1.53484,1.51511,1.21543,0.31004,0.53222,0.40267,0.2245,1.39496,1.67862,1.25049,0.00998474,0.00998474,0.00998474
7,661.551,1.49958,1.49794,1.20048,0.342,0.53502,0.41482,0.15734,2.20548,1.68223,1.65318,0.00997803,0.00997803,0.00997803
8,753.271,1.47805,1.4722,1.191,0.36177,0.58042,0.45971,0.25927,1.4648,1.61634,1.27198,0.00997011,0.00997011,0.00997011
9,847.409,1.44516,1.4622,1.18384,0.39765,0.57119,0.47257,0.28341,1.30527,1.47574,1.20791,0.00996097,0.00996097,0.00996097
10,940.343,1.43178,1.44271,1.17603,0.39062,0.58879,0.47704,0.28272,1.32019,1.47993,1.21817,0.00995062,0.00995062,0.00995062
11,1078.86,1.41834,1.43001,1.16519,0.40935,0.53476,0.45538,0.25086,1.54508,1.59118,1.29791,0.00993906,0.00993906,0.00993906
12,1204.19,1.39518,1.41205,1.16322,0.40201,0.5571,0.46022,0.24245,1.63523,1.51416,1.34772,0.00992629,0.00992629,0.00992629
13,1297.32,1.39357,1.41059,1.16155,0.40404,0.54947,0.43273,0.25185,1.38595,1.61269,1.23301,0.00991232,0.00991232,0.00991232
14,1389.71,1.37337,1.39122,1.14844,0.41026,0.58462,0.48103,0.26536,1.51388,1.49934,1.28381,0.00989715,0.00989715,0.00989715
15,1511.76,1.36215,1.38822,1.14648,0.42856,0.56289,0.48579,0.28867,1.34864,1.44014,1.21665,0.00988079,0.00988079,0.00988079
16,1626.99,1.35959,1.38347,1.14318,0.35073,0.60674,0.47371,0.27583,1.36461,1.50473,1.2235,0.00986323,0.00986323,0.00986323
17,1720.55,1.35202,1.37611,1.14185,0.4471,0.58158,0.50432,0.30953,1.24579,1.41378,1.17562,0.00984449,0.00984449,0.00984449
18,1814.28,1.34689,1.36847,1.14495,0.41201,0.58863,0.49716,0.29057,1.34485,1.42571,1.2125,0.00982456,0.00982456,0.00982456
19,1906.55,1.33769,1.36591,1.13911,0.45052,0.55182,0.49174,0.2946,1.32282,1.4239,1.20516,0.00980345,0.00980345,0.00980345
20,1998.27,1.32875,1.35686,1.13268,0.42485,0.56999,0.48666,0.28257,1.3797,1.43596,1.22745,0.00978118,0.00978118,0.00978118
21,2092,1.32105,1.34755,1.13672,0.42323,0.5763,0.49619,0.296,1.32423,1.4214,1.20297,0.00975773,0.00975773,0.00975773
22,2185.67,1.32335,1.35134,1.13498,0.4607,0.57637,0.50985,0.29209,1.40723,1.40899,1.24246,0.00973312,0.00973312,0.00973312
23,2278.45,1.31637,1.33289,1.13115,0.43418,0.57193,0.49402,0.26768,1.56125,1.43878,1.30482,0.00970736,0.00970736,0.00970736
24,2371.24,1.31452,1.32769,1.13085,0.43546,0.56968,0.49182,0.28202,1.42578,1.43306,1.24401,0.00968045,0.00968045,0.00968045
25,2463.48,1.30725,1.33431,1.12871,0.45367,0.56458,0.49704,0.30237,1.28238,1.41182,1.18363,0.00965239,0.00965239,0.00965239
26,2556.26,1.30976,1.3208,1.12977,0.45513,0.57925,0.50736,0.30905,1.30437,1.40344,1.19344,0.0096232,0.0096232,0.0096232
27,2648.53,1.30428,1.32785,1.12409,0.45532,0.57711,0.50793,0.28775,1.46275,1.40268,1.26412,0.00959289,0.00959289,0.00959289
28,2741.3,1.29788,1.31538,1.12266,0.48287,0.58418,0.52936,0.31228,1.37103,1.3648,1.22015,0.00956145,0.00956145,0.00956145
29,2834.14,1.29053,1.31381,1.12028,0.46806,0.58914,0.5303,0.31858,1.32108,1.35417,1.2001,0.00952889,0.00952889,0.00952889
30,2926.08,1.2939,1.30998,1.12141,0.46638,0.57768,0.5179,0.30412,1.39766,1.38024,1.2326,0.00949524,0.00949524,0.00949524
31,3019.13,1.29031,1.30565,1.12136,0.46907,0.58487,0.54198,0.32963,1.29107,1.33684,1.18819,0.00946048,0.00946048,0.00946048
32,3113.06,1.28274,1.30679,1.1179,0.47039,0.57336,0.51481,0.29244,1.48809,1.38141,1.27485,0.00942464,0.00942464,0.00942464
33,3206.05,1.28041,1.29448,1.11738,0.47322,0.57927,0.5302,0.31646,1.34806,1.35497,1.20965,0.00938772,0.00938772,0.00938772
34,3298.88,1.28121,1.30004,1.11519,0.4633,0.59627,0.53284,0.31619,1.40043,1.3545,1.22692,0.00934973,0.00934973,0.00934973
35,3391.49,1.2707,1.29761,1.11494,0.49206,0.5844,0.53635,0.30984,1.45864,1.34988,1.25789,0.00931067,0.00931067,0.00931067
36,3493.59,1.28144,1.29012,1.11269,0.48837,0.59071,0.53204,0.32948,1.25258,1.35032,1.17177,0.00927057,0.00927057,0.00927057
37,3585.51,1.27156,1.28715,1.11133,0.48518,0.5908,0.54445,0.33185,1.288,1.33231,1.18551,0.00922942,0.00922942,0.00922942
38,3678.85,1.27477,1.29152,1.11472,0.48777,0.59804,0.55018,0.33309,1.31675,1.33039,1.19517,0.00918725,0.00918725,0.00918725
39,3772.09,1.2681,1.28707,1.11309,0.48183,0.59561,0.54113,0.33003,1.30419,1.32696,1.19021,0.00914405,0.00914405,0.00914405
40,3864.84,1.26314,1.28604,1.11159,0.486,0.59479,0.54797,0.33203,1.3095,1.3377,1.19274,0.00909984,0.00909984,0.00909984
41,3957.83,1.26487,1.28977,1.11572,0.50099,0.59864,0.54696,0.32255,1.39328,1.34272,1.23142,0.00905463,0.00905463,0.00905463
42,4050.5,1.25968,1.28325,1.10892,0.49079,0.59956,0.54722,0.32009,1.41837,1.33229,1.23964,0.00900844,0.00900844,0.00900844
43,4143.34,1.26354,1.27774,1.10848,0.49564,0.59264,0.5464,0.32577,1.36513,1.33088,1.2163,0.00896127,0.00896127,0.00896127
44,4235.21,1.2587,1.28342,1.11231,0.49223,0.59598,0.54721,0.32457,1.36556,1.32667,1.2153,0.00891313,0.00891313,0.00891313
45,4342.75,1.2507,1.27789,1.10545,0.49325,0.58581,0.54122,0.31543,1.41398,1.3435,1.23399,0.00886404,0.00886404,0.00886404
