epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.573,2.02437,1.97934,1.60168,0.39314,0.56283,0.43839,0.24105,1.49163,1.57416,1.39064,0.00332715,0.00332715,0.00332715
2,519.332,1.607,1.54376,1.27815,0.37567,0.51211,0.41847,0.22438,1.63518,1.66832,1.45634,0.00666008,0.00666008,0.00666008
3,773.443,1.62927,1.58061,1.28038,0.2795,0.43057,0.28172,0.07045,2.55096,2.14901,1.93235,0.00999137,0.00999137,0.00999137
4,1026.72,1.63354,1.58518,1.27667,0.26522,0.26541,0.20249,0.05722,2.55367,2.33314,1.90591,0.0099945,0.0099945,0.0099945
5,1279.9,1.57559,1.54891,1.25052,0.37767,0.52824,0.41628,0.21765,1.54905,1.65875,1.31573,0.00999023,0.00999023,0.00999023
6,1535.2,1.51555,1.49799,1.22247,0.31832,0.56297,0.41559,0.22645,1.46506,1.65553,1.31185,0.00998474,0.00998474,0.00998474
7,1790.39,1.47334,1.47857,1.20242,0.38132,0.58133,0.45884,0.21966,1.82111,1.60168,1.45302,0.00997803,0.00997803,0.00997803
8,2045.41,1.43997,1.4438,1.18834,0.41723,0.5508,0.46691,0.27266,1.32016,1.49397,1.23242,0.00997011,0.00997011,0.00997011
9,2299.5,1.41228,1.43103,1.18391,0.37249,0.54774,0.43075,0.24462,1.40211,1.55165,1.28327,0.00996097,0.00996097,0.00996097
10,2552.37,1.40102,1.41572,1.17365,0.38966,0.59725,0.47682,0.27776,1.33671,1.44957,1.23291,0.00995062,0.00995062,0.00995062
11,2805.81,1.38704,1.39708,1.16244,0.42384,0.56737,0.47686,0.24812,1.63173,1.51257,1.34943,0.00993906,0.00993906,0.00993906
12,3059.21,1.35932,1.38169,1.1602,0.39931,0.57195,0.47387,0.25842,1.4788,1.51503,1.27965,0.00992629,0.00992629,0.00992629
13,3311.83,1.35996,1.38189,1.16165,0.42993,0.5626,0.4528,0.24454,1.55012,1.55122,1.3069,0.00991232,0.00991232,0.00991232
14,3565.17,1.33915,1.36313,1.14621,0.40849,0.57142,0.48826,0.27976,1.35678,1.46632,1.23569,0.00989715,0.00989715,0.00989715
15,3819.62,1.32733,1.35925,1.14396,0.44476,0.56806,0.49084,0.29527,1.29984,1.46118,1.20374,0.00988079,0.00988079,0.00988079
16,4073.16,1.31591,1.34965,1.13818,0.43346,0.58828,0.50569,0.27815,1.50483,1.397,1.29773,0.00986323,0.00986323,0.00986323
17,4326.49,1.31692,1.34291,1.13861,0.45222,0.58143,0.50624,0.30919,1.25703,1.39651,1.19033,0.00984449,0.00984449,0.00984449
18,4580.49,1.30913,1.33543,1.14223,0.45867,0.58139,0.51384,0.30965,1.26774,1.37547,1.20027,0.00982456,0.00982456,0.00982456
19,4834.84,1.30121,1.33059,1.13576,0.44922,0.58406,0.50971,0.30603,1.31389,1.40155,1.21296,0.00980345,0.00980345,0.00980345
20,5089.03,1.28725,1.32015,1.12749,0.45812,0.58422,0.5158,0.29213,1.48099,1.41246,1.27632,0.00978118,0.00978118,0.00978118
21,5341.94,1.28239,1.30774,1.13127,0.43946,0.60714,0.52256,0.32464,1.21694,1.36643,1.17456,0.00975773,0.00975773,0.00975773
22,5596.16,1.28479,1.31546,1.13052,0.47212,0.58228,0.51853,0.31081,1.34443,1.37221,1.22859,0.00973312,0.00973312,0.00973312
23,5849.66,1.2807,1.29693,1.12692,0.45088,0.58941,0.51323,0.28563,1.49802,1.3859,1.29236,0.00970736,0.00970736,0.00970736
24,6103.46,1.272,1.29078,1.12545,0.46821,0.55713,0.50771,0.30469,1.31409,1.40989,1.21136,0.00968045,0.00968045,0.00968045
25,6357.42,1.26597,1.2995,1.12188,0.46543,0.58733,0.51425,0.28169,1.54306,1.39537,1.31243,0.00965239,0.00965239,0.00965239
26,6612.48,1.27292,1.2839,1.12438,0.47011,0.60214,0.5382,0.32086,1.34784,1.3494,1.22227,0.0096232,0.0096232,0.0096232
27,6866.7,1.26662,1.28672,1.11983,0.47995,0.59507,0.53272,0.31417,1.35555,1.35076,1.22652,0.00959289,0.00959289,0.00959289
28,7119.74,1.25935,1.27493,1.11671,0.48544,0.59348,0.54585,0.32651,1.32495,1.32472,1.21143,0.00956145,0.00956145,0.00956145
29,7373.42,1.25684,1.27715,1.11761,0.47253,0.60176,0.54343,0.33013,1.29335,1.3262,1.19986,0.00952889,0.00952889,0.00952889
30,7627.75,1.2565,1.27479,1.11603,0.48112,0.58255,0.53307,0.2812,1.68118,1.37201,1.37133,0.00949524,0.00949524,0.00949524
31,7881.84,1.25032,1.26511,1.11429,0.49782,0.59436,0.55546,0.3182,1.48057,1.31744,1.277,0.00946048,0.00946048,0.00946048
32,8136.29,1.24282,1.26641,1.11175,0.48185,0.58228,0.53393,0.29475,1.58357,1.34864,1.33153,0.00942464,0.00942464,0.00942464
33,8390.42,1.24133,1.25466,1.11277,0.47839,0.59928,0.54085,0.30566,1.52924,1.33848,1.30388,0.00938772,0.00938772,0.00938772
34,8643.91,1.24339,1.26329,1.11025,0.48982,0.59035,0.55495,0.32169,1.44108,1.32065,1.25837,0.00934973,0.00934973,0.00934973
35,8896.2,1.23296,1.25773,1.11046,0.49082,0.6046,0.5452,0.31179,1.48004,1.32318,1.28005,0.00931067,0.00931067,0.00931067
36,9148.59,1.24413,1.24786,1.10706,0.50667,0.60196,0.55644,0.32276,1.44579,1.31191,1.26212,0.00927057,0.00927057,0.00927057
37,9400.24,1.23269,1.2448,1.10608,0.49899,0.60756,0.55612,0.31713,1.46714,1.30315,1.27472,0.00922942,0.00922942,0.00922942
38,9651.59,1.23794,1.2459,1.10885,0.4936,0.61577,0.5639,0.33598,1.38679,1.28358,1.23729,0.00918725,0.00918725,0.00918725
39,9903.27,1.23102,1.24152,1.10878,0.49708,0.61409,0.5609,0.33904,1.33824,1.28451,1.21748,0.00914405,0.00914405,0.00914405
40,10155.6,1.22388,1.24297,1.10526,0.49628,0.59367,0.54871,0.30847,1.53545,1.32486,1.30823,0.00909984,0.00909984,0.00909984
41,10407.3,1.22852,1.24576,1.10969,0.50263,0.60204,0.55769,0.32358,1.44381,1.29477,1.26356,0.00905463,0.00905463,0.00905463
42,10659.3,1.22092,1.23616,1.10272,0.50776,0.61172,0.56777,0.33062,1.43651,1.28607,1.25915,0.00900844,0.00900844,0.00900844
43,10911.3,1.22661,1.23146,1.10344,0.48575,0.59648,0.55416,0.31871,1.46241,1.30687,1.26844,0.00896127,0.00896127,0.00896127
44,11163.6,1.22242,1.23737,1.10644,0.51047,0.61187,0.5662,0.32981,1.43409,1.27755,1.258,0.00891313,0.00891313,0.00891313
45,11416.1,1.21259,1.23257,1.09965,0.50907,0.6041,0.56663,0.31809,1.54782,1.29311,1.3145,0.00886404,0.00886404,0.00886404
46,11669.3,1.21638,1.2235,1.10072,0.50986,0.60808,0.57099,0.33379,1.43531,1.27664,1.25802,0.00881401,0.00881401,0.00881401
47,11921.8,1.21751,1.21851,1.09824,0.50754,0.6245,0.57356,0.33777,1.42173,1.2737,1.25221,0.00876305,0.00876305,0.00876305
48,12174.3,1.21734,1.21639,1.09864,0.51577,0.60271,0.57149,0.33067,1.45243,1.28232,1.26369,0.00871117,0.00871117,0.00871117
49,12426,1.21011,1.22382,1.09912,0.50761,0.61633,0.57956,0.33874,1.42758,1.26154,1.25681,0.00865839,0.00865839,0.00865839
50,12678.8,1.20736,1.21244,1.09792,0.51565,0.61209,0.57639,0.34169,1.37511,1.25777,1.23315,0.00860473,0.00860473,0.00860473
51,12931.1,1.20547,1.21288,1.09658,0.51456,0.61174,0.58048,0.34742,1.36568,1.24622,1.22802,0.00855018,0.00855018,0.00855018
52,13182.6,1.20991,1.20833,1.09953,0.52903,0.60287,0.58575,0.34413,1.43501,1.24136,1.26113,0.00849477,0.00849477,0.00849477
53,13433.7,1.20321,1.20863,1.09543,0.52006,0.61375,0.58537,0.34453,1.41298,1.25225,1.24994,0.00843851,0.00843851,0.00843851
54,13685.3,1.19731,1.19848,1.08814,0.50847,0.62135,0.58423,0.3259,1.55182,1.2581,1.31301,0.00838141,0.00838141,0.00838141
55,13937.2,1.20588,1.19832,1.09415,0.51791,0.61452,0.58217,0.33554,1.46896,1.26151,1.2776,0.00832349,0.00832349,0.00832349
56,14189,1.19857,1.1941,1.09201,0.51325,0.61717,0.58127,0.33759,1.44214,1.24172,1.26292,0.00826477,0.00826477,0.00826477
57,14441.1,1.19604,1.19457,1.08945,0.52129,0.60501,0.58364,0.3363,1.46731,1.24807,1.27382,0.00820525,0.00820525,0.00820525
58,14693.8,1.19657,1.19065,1.09399,0.52362,0.61618,0.59103,0.34959,1.39277,1.23161,1.23902,0.00814495,0.00814495,0.00814495
59,14950.6,1.1903,1.18447,1.08745,0.52489,0.6265,0.59204,0.354,1.38468,1.23296,1.23681,0.00808389,0.00808389,0.00808389
60,15210.3,1.18978,1.19962,1.09657,0.53828,0.59808,0.58914,0.34852,1.41578,1.23542,1.25138,0.00802208,0.00802208,0.00802208
61,15468.8,1.1943,1.18327,1.09192,0.52974,0.59789,0.58109,0.32964,1.53143,1.24973,1.30495,0.00795954,0.00795954,0.00795954
62,15727.1,1.18978,1.18898,1.08964,0.52689,0.61829,0.58541,0.33967,1.46674,1.23983,1.27208,0.00789628,0.00789628,0.00789628
63,15986.1,1.19205,1.18281,1.08766,0.5307,0.62425,0.59469,0.35085,1.42476,1.23432,1.25204,0.00783231,0.00783231,0.00783231
64,16244.8,1.18631,1.1764,1.08764,0.541,0.61397,0.59842,0.35773,1.39705,1.22628,1.24224,0.00776766,0.00776766,0.00776766
65,16504.2,1.18883,1.18,1.08834,0.53371,0.62037,0.59885,0.35738,1.38647,1.22154,1.23798,0.00770234,0.00770234,0.00770234
66,16761.9,1.18179,1.18632,1.08941,0.53856,0.61983,0.59998,0.36227,1.36171,1.21676,1.22647,0.00763637,0.00763637,0.00763637
67,17020.6,1.18125,1.18046,1.08303,0.53843,0.62058,0.60037,0.36258,1.3552,1.21603,1.22615,0.00756976,0.00756976,0.00756976
68,17276,1.18513,1.16783,1.08542,0.54294,0.62,0.59992,0.36393,1.34165,1.21366,1.22101,0.00750252,0.00750252,0.00750252
69,17527.8,1.18845,1.17061,1.08961,0.53315,0.62733,0.60225,0.35828,1.39963,1.21589,1.24419,0.00743468,0.00743468,0.00743468
70,17779.2,1.1762,1.15168,1.08452,0.54175,0.61771,0.60197,0.36379,1.35425,1.21112,1.22412,0.00736625,0.00736625,0.00736625
71,18031.1,1.17811,1.16778,1.09014,0.53467,0.62433,0.60127,0.37123,1.29226,1.21188,1.19902,0.00729725,0.00729725,0.00729725
72,18283.6,1.17735,1.16258,1.0826,0.54107,0.62002,0.60419,0.37313,1.28896,1.19992,1.19751,0.0072277,0.0072277,0.0072277
73,18535.6,1.17526,1.16551,1.08057,0.54628,0.61715,0.60339,0.36536,1.35083,1.20868,1.22177,0.00715761,0.00715761,0.00715761
74,18787.2,1.16948,1.16096,1.08359,0.53687,0.6264,0.60311,0.36411,1.36634,1.20807,1.22824,0.007087,0.007087,0.007087
75,19039.1,1.17034,1.16569,1.08159,0.54149,0.61312,0.60121,0.35654,1.41249,1.21462,1.2498,0.00701588,0.00701588,0.00701588
76,19290.5,1.1694,1.15107,1.08106,0.54185,0.61987,0.60303,0.35611,1.427,1.21257,1.25676,0.00694428,0.00694428,0.00694428
77,19542.1,1.17241,1.15428,1.08922,0.54368,0.62112,0.60348,0.35671,1.42395,1.21249,1.25524,0.00687222,0.00687222,0.00687222
78,19793.5,1.16856,1.15496,1.08287,0.53681,0.6255,0.60476,0.36102,1.39573,1.20577,1.24271,0.0067997,0.0067997,0.0067997
79,20045.4,1.16753,1.15292,1.08405,0.5418,0.61907,0.6064,0.3661,1.36233,1.20286,1.22845,0.00672675,0.00672675,0.00672675
80,20297.4,1.16604,1.13929,1.08138,0.54989,0.61623,0.61053,0.37142,1.33875,1.19441,1.21813,0.00665339,0.00665339,0.00665339
81,20549.1,1.16214,1.14809,1.08204,0.55187,0.61884,0.61097,0.37258,1.33282,1.1945,1.21434,0.00657963,0.00657963,0.00657963
82,20801,1.16223,1.14406,1.08198,0.54668,0.63156,0.61247,0.37457,1.32528,1.19124,1.21092,0.0065055,0.0065055,0.0065055
83,21052.5,1.16764,1.1401,1.07932,0.55248,0.62635,0.61371,0.3763,1.32153,1.18992,1.21017,0.00643101,0.00643101,0.00643101
84,21304.6,1.16082,1.14498,1.07689,0.55093,0.62263,0.61359,0.37518,1.33443,1.19148,1.21555,0.00635617,0.00635617,0.00635617
85,21556.1,1.16436,1.1312,1.07935,0.5494,0.63104,0.61398,0.3742,1.35022,1.19176,1.22164,0.00628101,0.00628101,0.00628101
86,21808.3,1.15563,1.1318,1.07439,0.55674,0.61984,0.61363,0.37486,1.33621,1.19126,1.21619,0.00620555,0.00620555,0.00620555
87,22059.4,1.16626,1.13709,1.08527,0.55549,0.6181,0.6129,0.37411,1.33888,1.19102,1.21727,0.00612981,0.00612981,0.00612981
88,22310.5,1.16022,1.13116,1.07749,0.55163,0.6234,0.6132,0.37279,1.34778,1.18941,1.22082,0.0060538,0.0060538,0.0060538
89,22562.1,1.15325,1.12993,1.07436,0.5467,0.62859,0.61334,0.37105,1.36356,1.19062,1.22735,0.00597754,0.00597754,0.00597754
90,22813.5,1.15841,1.13399,1.07681,0.54876,0.6299,0.61335,0.37005,1.37225,1.19032,1.23057,0.00590105,0.00590105,0.00590105
91,23064.6,1.15078,1.12601,1.07687,0.54152,0.63469,0.6123,0.36985,1.37347,1.19401,1.23066,0.00582435,0.00582435,0.00582435
92,23316.5,1.14202,1.11626,1.07508,0.54452,0.63403,0.61341,0.37052,1.37495,1.19174,1.23208,0.00574746,0.00574746,0.00574746
