epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.075,1.7206,1.68289,1.56112,0.65651,0.65046,0.66375,0.35304,1.605,2.228,1.41085,0.00333194,0.00333194,0.00333194
2,814.351,1.52427,1.39667,1.40265,0.65532,0.57863,0.62628,0.32295,1.7689,1.8231,1.47855,0.00666487,0.00666487,0.00666487
3,1278.76,1.54978,1.42372,1.41609,0.6373,0.62311,0.6351,0.31798,1.82701,2.03728,1.55307,0.00999617,0.00999617,0.00999617
4,1810.37,1.52927,1.37238,1.41003,0.68325,0.65164,0.6817,0.35427,1.79861,1.87343,1.49497,0.0099945,0.0099945,0.0099945
5,2293.39,1.48551,1.31035,1.38782,0.67647,0.67964,0.69682,0.35345,1.77553,2.011,1.49379,0.00999023,0.00999023,0.00999023
6,2758.04,1.46325,1.28971,1.37395,0.65166,0.70333,0.70671,0.3912,1.53984,1.95698,1.37267,0.00998474,0.00998474,0.00998474
7,3215.64,1.44569,1.27042,1.3653,0.69251,0.69311,0.71745,0.38256,1.68025,1.68758,1.43708,0.00997803,0.00997803,0.00997803
8,3645.1,1.43121,1.24799,1.35817,0.68371,0.70811,0.72348,0.37176,1.73566,1.90993,1.47709,0.00997011,0.00997011,0.00997011
9,4084.36,1.42428,1.24413,1.35262,0.68766,0.71535,0.73072,0.38366,1.72673,1.78064,1.45401,0.00996097,0.00996097,0.00996097
10,4420.89,1.42063,1.23991,1.35087,0.68902,0.72268,0.73615,0.38882,1.67352,1.70962,1.43987,0.00995062,0.00995062,0.00995062
11,4834.66,1.41035,1.22785,1.34673,0.69267,0.72242,0.7375,0.38373,1.75074,1.74294,1.47281,0.00993906,0.00993906,0.00993906
12,5302.58,1.40033,1.22401,1.34251,0.69341,0.72247,0.74055,0.40079,1.64092,1.6599,1.41514,0.00992629,0.00992629,0.00992629
13,5619.24,1.39323,1.20957,1.33855,0.69233,0.72306,0.74426,0.39706,1.68102,1.70418,1.43579,0.00991232,0.00991232,0.00991232
14,5927.86,1.39247,1.21397,1.33594,0.68656,0.73527,0.74805,0.3837,1.7839,1.6671,1.49608,0.00989715,0.00989715,0.00989715
15,6234.88,1.39001,1.20871,1.3374,0.69069,0.73329,0.74851,0.39252,1.74088,1.63718,1.46626,0.00988079,0.00988079,0.00988079
16,6543.96,1.38495,1.20777,1.33407,0.69875,0.73271,0.74972,0.39123,1.73955,1.5948,1.46953,0.00986323,0.00986323,0.00986323
17,6850.07,1.38174,1.20583,1.33138,0.69958,0.73202,0.75203,0.39653,1.71582,1.63296,1.45373,0.00984449,0.00984449,0.00984449
18,7155.15,1.38213,1.18614,1.33208,0.70205,0.73651,0.75573,0.40533,1.6673,1.60472,1.42906,0.00982456,0.00982456,0.00982456
19,7459.18,1.37706,1.19203,1.33054,0.70325,0.73116,0.75523,0.4055,1.67104,1.58764,1.43082,0.00980345,0.00980345,0.00980345
20,7763.17,1.37346,1.18859,1.32728,0.7024,0.7364,0.75812,0.40219,1.70857,1.61604,1.45291,0.00978118,0.00978118,0.00978118
21,8073.43,1.37622,1.18369,1.32794,0.6994,0.74289,0.75864,0.40406,1.7051,1.60286,1.44967,0.00975773,0.00975773,0.00975773
22,8389.37,1.37178,1.18288,1.3237,0.70053,0.74153,0.75943,0.40103,1.73229,1.58705,1.4656,0.00973312,0.00973312,0.00973312
23,8702.1,1.36901,1.18392,1.32375,0.70033,0.74141,0.76075,0.39891,1.74272,1.5705,1.472,0.00970736,0.00970736,0.00970736
24,9007.71,1.36911,1.18209,1.3259,0.70138,0.73937,0.76028,0.39759,1.74857,1.55537,1.47575,0.00968045,0.00968045,0.00968045
25,9317.36,1.37109,1.17768,1.3263,0.70149,0.74052,0.76084,0.39833,1.74232,1.55245,1.47477,0.00965239,0.00965239,0.00965239
26,9624.39,1.36763,1.17869,1.32335,0.70164,0.74053,0.76073,0.40148,1.72817,1.54722,1.46616,0.0096232,0.0096232,0.0096232
27,9931.35,1.36512,1.18775,1.32259,0.70362,0.73921,0.76148,0.40164,1.72895,1.53577,1.4672,0.00959289,0.00959289,0.00959289
28,10235.7,1.36259,1.17758,1.32034,0.7068,0.73919,0.7621,0.40254,1.7265,1.52954,1.46479,0.00956145,0.00956145,0.00956145
29,10541.2,1.36238,1.17599,1.31991,0.70703,0.73902,0.76265,0.40341,1.72119,1.52233,1.46236,0.00952889,0.00952889,0.00952889
30,10845.1,1.3591,1.17261,1.31901,0.708,0.73775,0.76304,0.40417,1.71493,1.51743,1.45866,0.00949524,0.00949524,0.00949524
31,11146.7,1.35893,1.1742,1.31812,0.70759,0.73739,0.76284,0.40547,1.70618,1.50943,1.45318,0.00946048,0.00946048,0.00946048
32,11452.1,1.35935,1.18064,1.31707,0.70793,0.73889,0.7633,0.40596,1.7058,1.50817,1.45285,0.00942464,0.00942464,0.00942464
33,11759.8,1.35812,1.1731,1.31535,0.71089,0.73607,0.76364,0.40689,1.69966,1.50533,1.44926,0.00938772,0.00938772,0.00938772
34,12066.2,1.3546,1.1712,1.31663,0.70958,0.7375,0.76333,0.40744,1.69596,1.50107,1.44733,0.00934973,0.00934973,0.00934973
35,12371,1.3507,1.17317,1.31528,0.71043,0.73652,0.76346,0.40705,1.69951,1.49615,1.44962,0.00931067,0.00931067,0.00931067
36,12674,1.35398,1.17022,1.31661,0.71048,0.73639,0.76343,0.40802,1.69541,1.49512,1.44728,0.00927057,0.00927057,0.00927057
37,12977,1.35312,1.1712,1.3162,0.70943,0.73666,0.76347,0.40853,1.69241,1.49376,1.44561,0.00922942,0.00922942,0.00922942
38,13281.5,1.3514,1.159,1.31471,0.711,0.73652,0.76361,0.4083,1.69355,1.48889,1.44623,0.00918725,0.00918725,0.00918725
39,13583.8,1.35296,1.16029,1.31576,0.71223,0.73541,0.76349,0.40844,1.6934,1.48363,1.44605,0.00914405,0.00914405,0.00914405
40,13885.9,1.35084,1.16933,1.31218,0.71313,0.73593,0.76364,0.40832,1.69366,1.47973,1.44598,0.00909984,0.00909984,0.00909984
41,14190.8,1.34921,1.16008,1.31253,0.71428,0.73539,0.76383,0.40821,1.69571,1.47685,1.44726,0.00905463,0.00905463,0.00905463
42,14494.5,1.34462,1.1597,1.31046,0.71395,0.73631,0.76393,0.40849,1.69489,1.4736,1.44689,0.00900844,0.00900844,0.00900844
43,14798.6,1.35076,1.15703,1.3127,0.71408,0.73628,0.7643,0.40877,1.69454,1.4713,1.44651,0.00896127,0.00896127,0.00896127
44,15176.3,1.3502,1.16095,1.31155,0.71406,0.73724,0.76467,0.40948,1.6929,1.47277,1.44517,0.00891313,0.00891313,0.00891313
45,15586.4,1.34561,1.15672,1.31152,0.7126,0.73938,0.76482,0.40947,1.69285,1.47032,1.44481,0.00886404,0.00886404,0.00886404
46,15956.7,1.3455,1.16159,1.31075,0.71343,0.73816,0.76477,0.40939,1.69511,1.46634,1.4456,0.00881401,0.00881401,0.00881401
47,16259.9,1.34536,1.16207,1.31295,0.71464,0.73744,0.76494,0.40969,1.69426,1.46237,1.44498,0.00876305,0.00876305,0.00876305
48,16562.5,1.34583,1.15724,1.31039,0.71509,0.73727,0.76491,0.41017,1.69267,1.4581,1.44404,0.00871117,0.00871117,0.00871117
49,16865,1.34266,1.15957,1.30982,0.71551,0.7371,0.76562,0.41082,1.68968,1.45431,1.44198,0.00865839,0.00865839,0.00865839
50,17167.5,1.34261,1.1596,1.31047,0.71472,0.73871,0.76545,0.41116,1.68904,1.45285,1.4416,0.00860473,0.00860473,0.00860473
51,17471.1,1.33625,1.15506,1.30667,0.71491,0.73863,0.76565,0.41186,1.68413,1.45045,1.43866,0.00855018,0.00855018,0.00855018
52,17772.8,1.33984,1.15173,1.307,0.71378,0.74014,0.76561,0.41256,1.68032,1.44971,1.43615,0.00849477,0.00849477,0.00849477
53,18075.5,1.33772,1.15384,1.30567,0.71253,0.74086,0.76552,0.41269,1.67925,1.44715,1.43568,0.00843851,0.00843851,0.00843851
54,18380.2,1.34145,1.15062,1.30846,0.71423,0.74062,0.76591,0.41319,1.67866,1.44482,1.43536,0.00838141,0.00838141,0.00838141
55,18685.7,1.34174,1.15154,1.31016,0.7136,0.74101,0.76625,0.41319,1.67923,1.44149,1.43564,0.00832349,0.00832349,0.00832349
56,18989.1,1.33789,1.15181,1.30587,0.71565,0.74066,0.76646,0.41373,1.67707,1.44031,1.43417,0.00826477,0.00826477,0.00826477
57,19304.4,1.3381,1.15083,1.30702,0.71422,0.74199,0.76689,0.41405,1.67518,1.4392,1.4331,0.00820525,0.00820525,0.00820525
58,19606.9,1.33596,1.14911,1.30507,0.7158,0.74074,0.76688,0.41446,1.67333,1.43598,1.43186,0.00814495,0.00814495,0.00814495
59,19909.9,1.33497,1.15754,1.30431,0.71651,0.74086,0.76748,0.41476,1.67118,1.43252,1.4309,0.00808389,0.00808389,0.00808389
60,20210.9,1.33429,1.14933,1.30484,0.71731,0.74072,0.76783,0.41498,1.66957,1.43055,1.43032,0.00802208,0.00802208,0.00802208
61,20513.7,1.33434,1.15204,1.30402,0.71559,0.74184,0.76801,0.41521,1.66861,1.42988,1.42967,0.00795954,0.00795954,0.00795954
62,20817.2,1.3314,1.15253,1.30351,0.71523,0.7424,0.7684,0.41549,1.66866,1.42659,1.42938,0.00789628,0.00789628,0.00789628
63,21119.5,1.33232,1.14401,1.30431,0.71475,0.74323,0.76817,0.41573,1.66743,1.42765,1.42863,0.00783231,0.00783231,0.00783231
64,21439.1,1.3314,1.13828,1.30353,0.71563,0.74369,0.76858,0.41596,1.67024,1.429,1.4297,0.00776766,0.00776766,0.00776766
65,21760,1.33109,1.14484,1.30117,0.71465,0.74314,0.76871,0.41566,1.67217,1.42895,1.4306,0.00770234,0.00770234,0.00770234
66,22077.1,1.32981,1.14273,1.30101,0.71527,0.74332,0.76874,0.41544,1.67676,1.42924,1.43273,0.00763637,0.00763637,0.00763637
67,22397,1.32832,1.1458,1.2992,0.71367,0.74647,0.76918,0.41589,1.67733,1.43107,1.43232,0.00756976,0.00756976,0.00756976
68,22716.8,1.32802,1.14796,1.29928,0.71553,0.74508,0.7696,0.41555,1.67967,1.42925,1.43327,0.00750252,0.00750252,0.00750252
69,23034,1.329,1.13626,1.30095,0.7141,0.74618,0.76977,0.41611,1.67827,1.42537,1.43206,0.00743468,0.00743468,0.00743468
70,23358.3,1.32714,1.1386,1.30035,0.71558,0.74545,0.77005,0.41587,1.67835,1.4239,1.4324,0.00736625,0.00736625,0.00736625
71,23678.5,1.32714,1.14684,1.29793,0.71476,0.74718,0.77038,0.4162,1.677,1.42229,1.43163,0.00729725,0.00729725,0.00729725
72,23999.7,1.32503,1.14033,1.29993,0.71386,0.74853,0.77063,0.41631,1.67547,1.42361,1.43114,0.0072277,0.0072277,0.0072277
73,24322.9,1.32664,1.13844,1.30108,0.71382,0.74816,0.77071,0.41595,1.67972,1.42159,1.43364,0.00715761,0.00715761,0.00715761
74,24643.1,1.32557,1.14124,1.29939,0.71427,0.74762,0.7706,0.41593,1.68023,1.42414,1.43369,0.007087,0.007087,0.007087
