epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.666,2.20531,1.87024,1.61836,0.62048,0.64378,0.61909,0.23676,2.05545,1.47629,1.69631,0.00332715,0.00332715,0.00332715
2,341.159,1.89496,1.39754,1.40613,0.66671,0.64436,0.65793,0.28677,1.88752,1.40994,1.58762,0.00666008,0.00666008,0.00666008
3,504.998,1.91821,1.42685,1.42283,0.52956,0.60535,0.55304,0.22642,2.03163,2.43104,1.64699,0.00999137,0.00999137,0.00999137
4,669.039,1.92446,1.43427,1.42218,0.30003,0.34194,0.20377,0.03302,3.1864,2.65828,2.4973,0.0099945,0.0099945,0.0099945
5,831.799,1.84507,1.37639,1.38132,0.60135,0.62027,0.58678,0.17901,2.49187,1.61706,1.87582,0.00999023,0.00999023,0.00999023
6,995.897,1.80105,1.34896,1.36489,0.61142,0.41009,0.49608,0.19101,2.06398,2.01137,1.6238,0.00998474,0.00998474,0.00998474
7,1160,1.7631,1.3168,1.34536,0.66543,0.67054,0.6873,0.32523,1.72182,1.33956,1.45443,0.00997803,0.00997803,0.00997803
8,1324.51,1.72401,1.28583,1.33181,0.63149,0.686,0.66732,0.26653,2.14374,1.63095,1.67606,0.00997011,0.00997011,0.00997011
9,1488.42,1.71193,1.28405,1.32062,0.69124,0.65014,0.68291,0.3285,1.72961,1.34058,1.45164,0.00996097,0.00996097,0.00996097
10,1652.6,1.68135,1.2627,1.31182,0.6851,0.68836,0.69863,0.32991,1.78466,1.32585,1.49127,0.00995062,0.00995062,0.00995062
11,1815.5,1.66682,1.25462,1.30965,0.62477,0.65791,0.65112,0.25041,2.26244,1.38178,1.71691,0.00993906,0.00993906,0.00993906
12,1980.76,1.66679,1.25398,1.30269,0.68775,0.68802,0.71394,0.36286,1.57171,1.27894,1.40488,0.00992629,0.00992629,0.00992629
