epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.167,1.52641,1.81231,0.98563,0.39703,0.45802,0.3606,0.20527,1.5778,1.68171,1.04554,0.00332715,0.00332715,0.00332715
2,197.849,1.47218,1.51087,0.95083,0.39156,0.44749,0.36413,0.17905,1.82627,1.77681,1.07211,0.00665886,0.00665886,0.00665886
3,281.274,1.53157,1.52144,0.96541,0.32235,0.43719,0.31914,0.16903,1.77816,2.1193,1.06914,0.00998405,0.00998405,0.00998405
4,363.356,1.52413,1.51249,0.96603,0.35811,0.43538,0.33714,0.19422,1.68394,1.86675,1.07016,0.00997803,0.00997803,0.00997803
5,441.725,1.46758,1.47844,0.95175,0.45154,0.33699,0.29774,0.17162,1.61257,2.09934,1.01599,0.00996097,0.00996097,0.00996097
6,520.993,1.44592,1.42681,0.94843,0.37334,0.44522,0.35401,0.21112,1.54252,1.71175,1.0259,0.00993906,0.00993906,0.00993906
7,599.842,1.41335,1.40967,0.94111,0.41002,0.4554,0.36531,0.20141,1.65206,1.75253,1.03141,0.00991232,0.00991232,0.00991232
8,680.48,1.40245,1.38425,0.93891,0.40797,0.45736,0.37901,0.21249,1.64031,1.68498,1.03362,0.00988079,0.00988079,0.00988079
9,758.053,1.38908,1.36339,0.93639,0.44607,0.46265,0.39524,0.23502,1.54134,1.58895,1.0137,0.00984449,0.00984449,0.00984449
10,837.955,1.37534,1.34848,0.93305,0.44015,0.46168,0.39245,0.22382,1.56529,1.61981,1.0126,0.00980345,0.00980345,0.00980345
11,917.651,1.36041,1.33843,0.93044,0.43288,0.47321,0.39726,0.23788,1.47262,1.57651,1.00742,0.00975773,0.00975773,0.00975773
12,1001.52,1.35821,1.32841,0.92958,0.46028,0.46802,0.3933,0.23336,1.5044,1.59655,1.00675,0.00970736,0.00970736,0.00970736
13,1083.62,1.35006,1.31715,0.92761,0.44364,0.46682,0.39976,0.24358,1.44263,1.53015,1.01657,0.00965239,0.00965239,0.00965239
14,1163.54,1.34338,1.30311,0.9262,0.46938,0.49284,0.42586,0.26078,1.43292,1.52491,1.00125,0.00959289,0.00959289,0.00959289
15,1239.87,1.33552,1.29434,0.92546,0.46024,0.48769,0.41893,0.25262,1.44696,1.56175,1.00077,0.00952889,0.00952889,0.00952889
16,1315.1,1.32924,1.29008,0.92315,0.47532,0.4869,0.42323,0.24557,1.54257,1.55162,1.01983,0.00946048,0.00946048,0.00946048
17,1389.23,1.32877,1.28239,0.92369,0.48209,0.48732,0.427,0.25607,1.48383,1.54172,0.99838,0.00938772,0.00938772,0.00938772
18,1462.46,1.32104,1.27357,0.92236,0.46455,0.49471,0.42678,0.2669,1.38905,1.47309,0.99459,0.00931067,0.00931067,0.00931067
19,1538.39,1.31822,1.26896,0.92075,0.48399,0.49648,0.43984,0.27049,1.41683,1.5116,0.99984,0.00922942,0.00922942,0.00922942
20,1613.66,1.3151,1.25387,0.92087,0.49713,0.49529,0.44564,0.27035,1.44254,1.48395,0.9998,0.00914405,0.00914405,0.00914405
21,1688.55,1.31047,1.24708,0.92024,0.47261,0.48756,0.4299,0.26685,1.41075,1.52111,0.99145,0.00905463,0.00905463,0.00905463
22,1766.48,1.30987,1.24409,0.91885,0.49142,0.50125,0.44607,0.2659,1.46015,1.47835,1.00644,0.00896127,0.00896127,0.00896127
23,1852.13,1.30151,1.24119,0.91897,0.49007,0.49937,0.44613,0.26663,1.4888,1.4879,1.00704,0.00886404,0.00886404,0.00886404
24,1947.46,1.30424,1.2343,0.91841,0.48147,0.5031,0.44227,0.27011,1.43969,1.4856,0.9897,0.00876305,0.00876305,0.00876305
25,2047.27,1.29778,1.23445,0.91644,0.51029,0.50398,0.46039,0.27775,1.44325,1.47799,1.00112,0.00865839,0.00865839,0.00865839
26,2147.58,1.29616,1.22034,0.91866,0.51496,0.50148,0.45883,0.27028,1.48859,1.45731,1.00696,0.00855018,0.00855018,0.00855018
27,2238.06,1.29399,1.21774,0.91756,0.50701,0.51037,0.45263,0.28082,1.43564,1.48252,1.00405,0.00843851,0.00843851,0.00843851
28,2325.88,1.29136,1.21256,0.91575,0.51507,0.51162,0.46395,0.29366,1.37981,1.43369,0.99501,0.00832349,0.00832349,0.00832349
29,2411.99,1.28737,1.2049,0.91498,0.50613,0.51567,0.46575,0.28467,1.43433,1.44245,0.99803,0.00820525,0.00820525,0.00820525
30,2507.51,1.28676,1.20398,0.91381,0.49834,0.51308,0.45679,0.28158,1.42994,1.46271,0.99796,0.00808389,0.00808389,0.00808389
31,2604.54,1.27908,1.1969,0.91364,0.51815,0.51162,0.46919,0.28194,1.4431,1.43565,0.99853,0.00795954,0.00795954,0.00795954
32,2698.81,1.27812,1.1942,0.91341,0.50405,0.51373,0.46324,0.29677,1.34616,1.39864,0.99127,0.00783231,0.00783231,0.00783231
33,2786.76,1.27786,1.19181,0.91308,0.51418,0.51724,0.47064,0.29682,1.36032,1.42323,0.99346,0.00770234,0.00770234,0.00770234
34,2866.38,1.27584,1.1838,0.91176,0.51488,0.52036,0.47111,0.29473,1.38131,1.42479,0.99846,0.00756976,0.00756976,0.00756976
35,2953.34,1.27163,1.17248,0.91123,0.53085,0.51581,0.47713,0.29699,1.39091,1.41274,0.99472,0.00743468,0.00743468,0.00743468
36,3043.93,1.27236,1.17345,0.91261,0.52012,0.52181,0.47754,0.29865,1.3828,1.40873,0.99851,0.00729725,0.00729725,0.00729725
37,3134.01,1.26476,1.16816,0.90951,0.52525,0.52455,0.4766,0.29566,1.39185,1.39895,0.99335,0.00715761,0.00715761,0.00715761
38,3226.89,1.26188,1.16401,0.90931,0.52623,0.52304,0.4795,0.29976,1.37539,1.38125,0.99258,0.00701588,0.00701588,0.00701588
39,3322.15,1.26194,1.15559,0.90946,0.53321,0.51746,0.47992,0.3049,1.35971,1.3893,0.9942,0.00687222,0.00687222,0.00687222
40,3419,1.2583,1.15273,0.90836,0.53329,0.52002,0.48314,0.30133,1.38131,1.38078,0.98795,0.00672675,0.00672675,0.00672675
41,3515.61,1.25455,1.14669,0.90864,0.52842,0.52753,0.48382,0.30538,1.36627,1.37606,0.98862,0.00657963,0.00657963,0.00657963
42,3606.55,1.25129,1.14147,0.90679,0.53112,0.53407,0.48887,0.30552,1.37896,1.3856,0.98634,0.00643101,0.00643101,0.00643101
43,3685.24,1.25229,1.14128,0.90743,0.53073,0.52505,0.48759,0.30307,1.38179,1.38123,0.99248,0.00628101,0.00628101,0.00628101
