epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,531.548,1.45837,1.78313,1.10186,0.37478,0.4329,0.34533,0.18385,1.75676,2.19196,1.15096,0.00333194,0.00333194,0.00333194
2,1080.5,1.32373,1.54068,1.02723,0.32324,0.40455,0.3186,0.14867,2.13693,2.23593,1.26076,0.00666487,0.00666487,0.00666487
3,1612.8,1.35572,1.55595,1.04161,0.29409,0.42836,0.31175,0.17665,1.63182,2.80236,1.12469,0.00999617,0.00999617,0.00999617
4,2128.74,1.32897,1.53217,1.03612,0.32818,0.4519,0.34031,0.17827,1.81004,2.63265,1.16436,0.0099945,0.0099945,0.0099945
5,2639.09,1.27541,1.48373,1.02085,0.35663,0.46747,0.36014,0.21236,1.54341,2.35748,1.10108,0.00999023,0.00999023,0.00999023
6,3163.48,1.24619,1.45303,1.01191,0.37034,0.45264,0.3564,0.19448,1.7426,2.15995,1.14944,0.00998474,0.00998474,0.00998474
7,3727.71,1.22713,1.42942,1.00518,0.3916,0.46427,0.37366,0.20913,1.67816,2.08556,1.1278,0.00997803,0.00997803,0.00997803
8,4322.39,1.21271,1.40946,1.00187,0.4011,0.4697,0.38405,0.20327,1.78151,2.14025,1.15489,0.00997011,0.00997011,0.00997011
9,4880.56,1.19809,1.39284,0.99711,0.40199,0.4785,0.39015,0.21631,1.68227,2.04141,1.13308,0.00996097,0.00996097,0.00996097
10,5439.02,1.19527,1.38732,0.99502,0.40997,0.47958,0.393,0.20325,1.84709,2.16635,1.17131,0.00995062,0.00995062,0.00995062
11,6000.05,1.18486,1.36832,0.99184,0.42109,0.48453,0.4009,0.22313,1.67982,2.03902,1.12187,0.00993906,0.00993906,0.00993906
12,6575.01,1.17981,1.36802,0.99058,0.42082,0.48961,0.40336,0.21041,1.80814,2.05882,1.15976,0.00992629,0.00992629,0.00992629
13,7108.42,1.17339,1.35482,0.98877,0.41301,0.48705,0.40144,0.21337,1.78247,2.22863,1.15551,0.00991232,0.00991232,0.00991232
14,7639.13,1.1703,1.35028,0.98813,0.42203,0.49104,0.40742,0.2185,1.76099,2.0953,1.13415,0.00989715,0.00989715,0.00989715
15,8257.26,1.16458,1.3438,0.9871,0.42741,0.4947,0.41255,0.21687,1.79704,1.99638,1.14735,0.00988079,0.00988079,0.00988079
16,8840.5,1.16236,1.33793,0.98564,0.43409,0.50017,0.41863,0.22951,1.73114,2.03717,1.13146,0.00986323,0.00986323,0.00986323
17,9383.26,1.16073,1.33333,0.98681,0.43651,0.49638,0.41844,0.22567,1.77535,2.0375,1.1428,0.00984449,0.00984449,0.00984449
18,9950.14,1.15707,1.32261,0.98503,0.4346,0.50275,0.42071,0.23242,1.71296,2.04014,1.12802,0.00982456,0.00982456,0.00982456
19,10542.2,1.15525,1.32305,0.9853,0.43735,0.50348,0.4242,0.23265,1.711,1.98062,1.12712,0.00980345,0.00980345,0.00980345
20,11112.1,1.15134,1.30959,0.98311,0.44117,0.49917,0.42384,0.22928,1.74307,1.99191,1.1349,0.00978118,0.00978118,0.00978118
21,11726.8,1.14806,1.31045,0.98233,0.44329,0.50469,0.42742,0.23311,1.72488,1.97622,1.12775,0.00975773,0.00975773,0.00975773
22,12099.1,1.15032,1.3152,0.98214,0.44288,0.50428,0.42788,0.23124,1.74162,2.01224,1.12903,0.00973312,0.00973312,0.00973312
23,12464.4,1.14599,1.31085,0.98239,0.44556,0.50321,0.43013,0.23404,1.72971,2.00973,1.12634,0.00970736,0.00970736,0.00970736
24,12833.8,1.142,1.30571,0.98238,0.44555,0.50381,0.43063,0.23508,1.72663,1.98924,1.12591,0.00968045,0.00968045,0.00968045
25,13202.2,1.14182,1.30343,0.9804,0.44702,0.50639,0.4322,0.23728,1.71123,1.98048,1.12278,0.00965239,0.00965239,0.00965239
26,13569.9,1.14244,1.29565,0.98106,0.44711,0.50549,0.43297,0.23919,1.69955,1.96335,1.11981,0.0096232,0.0096232,0.0096232
27,13928.6,1.13611,1.29911,0.98042,0.45037,0.50374,0.43349,0.23972,1.6969,1.95954,1.12008,0.00959289,0.00959289,0.00959289
28,14295.7,1.13668,1.29178,0.97941,0.45012,0.50582,0.43424,0.2403,1.69588,1.9554,1.11895,0.00956145,0.00956145,0.00956145
29,14661.4,1.13559,1.28826,0.97902,0.44974,0.50626,0.43486,0.23977,1.7034,1.95601,1.12092,0.00952889,0.00952889,0.00952889
30,15024.3,1.13609,1.28446,0.97894,0.45091,0.50726,0.43549,0.24018,1.70262,1.95436,1.11991,0.00949524,0.00949524,0.00949524
31,15380.8,1.13499,1.2851,0.97947,0.45041,0.50729,0.43585,0.24007,1.70611,1.94543,1.12031,0.00946048,0.00946048,0.00946048
32,15755.6,1.13176,1.28271,0.97699,0.4517,0.50862,0.43665,0.24046,1.70739,1.93829,1.12061,0.00942464,0.00942464,0.00942464
