epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8767,1.58045,1.95468,1.07267,0.22114,0.15074,0.08047,0.02167,3.06583,3.83262,2.04042,0.000550522,0.000550522,0.000550522
2,153.713,1.49699,1.5838,1.04511,0.04089,0.30492,0.00553,0.00185,nan,nan,nan,0.00110612,0.00110612,0.00110612
3,213.666,1.49689,1.58389,1.04507,0.73745,0.23811,0.21664,0.06566,2.5678,2.18034,1.58905,0.00166145,0.00166145,0.00166145
4,275.699,1.4664,1.53344,1.03123,0.3071,0.37964,0.28315,0.13924,1.88426,1.86916,1.31162,0.00166608,0.00166608,0.00166608
5,335.712,1.46102,1.49632,1.0287,0.38165,0.37942,0.29762,0.12198,2.22784,1.96908,1.45689,0.00166537,0.00166537,0.00166537
6,392.121,1.44989,1.48195,1.02425,0.46058,0.25572,0.25581,0.11321,2.07552,2.11364,1.39862,0.00166446,0.00166446,0.00166446
7,448.893,1.43455,1.46301,1.02358,0.30121,0.3631,0.26998,0.14008,1.75372,1.89926,1.26069,0.00166334,0.00166334,0.00166334
8,506.308,1.40062,1.42462,1.00831,0.38803,0.3828,0.30854,0.15962,1.82421,1.83835,1.27527,0.00166202,0.00166202,0.00166202
9,562.542,1.38003,1.41494,1.00455,0.76216,0.24866,0.24422,0.1398,1.7039,1.90535,1.25772,0.00166049,0.00166049,0.00166049
10,618.742,1.36128,1.4035,0.99918,0.46145,0.37736,0.32599,0.19478,1.67296,1.80805,1.23318,0.00165877,0.00165877,0.00165877
11,673.96,1.38047,1.39239,1.00428,0.53997,0.2709,0.28218,0.16987,1.58679,1.82891,1.20666,0.00165684,0.00165684,0.00165684
12,727.399,1.37804,1.3741,1.00122,0.40765,0.39229,0.33516,0.20109,1.58362,1.76729,1.205,0.00165471,0.00165471,0.00165471
13,781.246,1.34114,1.36296,0.99264,0.43127,0.40518,0.33968,0.20347,1.57669,1.69541,1.19047,0.00165238,0.00165238,0.00165238
14,834.171,1.35053,1.37385,0.99492,0.34623,0.39035,0.3068,0.16691,1.80257,1.92348,1.30121,0.00164986,0.00164986,0.00164986
15,885.317,1.32827,1.36393,0.99177,0.36158,0.36843,0.29127,0.16138,1.63293,1.78612,1.21587,0.00164713,0.00164713,0.00164713
16,936.978,1.32895,1.34968,0.98925,0.28592,0.24929,0.25297,0.13478,1.78142,2.01294,1.25992,0.0016442,0.0016442,0.0016442
17,988.763,1.33183,1.33777,0.9902,0.43831,0.41059,0.3476,0.20369,1.65491,1.71667,1.23553,0.00164108,0.00164108,0.00164108
18,1041.63,1.33679,1.33613,0.99021,0.43743,0.41161,0.35499,0.20302,1.68933,1.70182,1.27494,0.00163775,0.00163775,0.00163775
19,1096.69,1.3322,1.30965,0.98757,0.4133,0.38627,0.33436,0.1795,1.72357,1.74678,1.26307,0.00163424,0.00163424,0.00163424
20,1151.11,1.32134,1.30087,0.98617,0.43508,0.41954,0.35591,0.21321,1.60789,1.66742,1.23233,0.00163052,0.00163052,0.00163052
21,1205.24,1.33115,1.32437,0.9871,0.44903,0.42318,0.36293,0.20406,1.68688,1.70656,1.24631,0.00162661,0.00162661,0.00162661
