epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0658,1.75068,2.09535,1.19199,0.2122,0.28435,0.16163,0.065,2.14003,3.39827,1.30334,0.000550522,0.000550522,0.000550522
2,77.837,1.57647,1.74359,1.07732,0.27509,0.35452,0.2473,0.09235,2.20121,2.18527,1.255,0.00110612,0.00110612,0.00110612
3,117.075,1.56983,1.73225,1.07302,0.242,0.24485,0.20347,0.06222,2.26496,3.21487,1.2516,0.00166145,0.00166145,0.00166145
4,154.266,1.54057,1.67925,1.06197,0.34834,0.28493,0.27365,0.12082,1.91537,3.09378,1.13197,0.00166608,0.00166608,0.00166608
5,190.807,1.51748,1.66059,1.05205,0.32558,0.41951,0.32142,0.15628,1.76743,1.96081,1.09038,0.00166537,0.00166537,0.00166537
6,227.797,1.47337,1.61387,1.04126,0.26982,0.41875,0.29209,0.14929,1.64443,2.15303,1.04938,0.00166446,0.00166446,0.00166446
7,265.099,1.4512,1.61294,1.03708,0.31575,0.36196,0.27253,0.14296,1.67813,2.30939,1.0662,0.00166334,0.00166334,0.00166334
8,306.944,1.43808,1.5712,1.02757,0.38029,0.42927,0.35357,0.15296,1.92738,1.7911,1.12145,0.00166202,0.00166202,0.00166202
9,350.262,1.41561,1.55599,1.02448,0.32908,0.40407,0.32188,0.17083,1.53937,1.80403,1.0128,0.00166049,0.00166049,0.00166049
10,393.133,1.4089,1.57582,1.02106,0.38577,0.34815,0.25138,0.13891,1.46513,1.92969,1.01447,0.00165877,0.00165877,0.00165877
11,432.852,1.40318,1.55365,1.02149,0.40277,0.2701,0.29991,0.17825,1.40184,1.98794,1.00031,0.00165684,0.00165684,0.00165684
12,476.293,1.37411,1.51381,1.01414,0.47736,0.37268,0.34791,0.18646,1.55041,1.72843,1.02343,0.00165471,0.00165471,0.00165471
13,518.681,1.37485,1.53503,1.00984,0.41882,0.45136,0.37526,0.20955,1.39388,1.68348,0.99006,0.00165238,0.00165238,0.00165238
14,560.778,1.36695,1.50399,1.00653,0.35559,0.44668,0.35529,0.19614,1.52207,1.79085,1.01305,0.00164986,0.00164986,0.00164986
15,603.254,1.35391,1.50541,1.00379,0.4139,0.47509,0.39644,0.22528,1.4229,1.66789,0.98686,0.00164713,0.00164713,0.00164713
16,645.566,1.35888,1.50037,1.00381,0.50416,0.37275,0.34991,0.17751,1.5843,1.74739,1.02089,0.0016442,0.0016442,0.0016442
17,686.11,1.34495,1.49722,1.00017,0.39011,0.45347,0.37286,0.20383,1.51335,1.6809,1.0087,0.00164108,0.00164108,0.00164108
18,727.089,1.35095,1.49063,1.00294,0.33682,0.42435,0.33038,0.19009,1.43541,1.73182,1.01672,0.00163775,0.00163775,0.00163775
19,768.713,1.35004,1.48009,1.00063,0.448,0.47744,0.41448,0.21378,1.52087,1.62322,1.01214,0.00163424,0.00163424,0.00163424
20,809.416,1.33455,1.46811,0.99451,0.45375,0.47239,0.41987,0.24329,1.40226,1.55879,0.98406,0.00163052,0.00163052,0.00163052
21,849.474,1.33678,1.46145,0.99655,0.38923,0.43328,0.37476,0.20677,1.48264,1.68226,1.00178,0.00162661,0.00162661,0.00162661
22,891.862,1.34449,1.43888,0.99938,0.4187,0.40943,0.34991,0.20659,1.37042,1.64578,0.98349,0.00162251,0.00162251,0.00162251
23,933.576,1.31786,1.42288,0.99505,0.40114,0.45272,0.38252,0.2137,1.45042,1.60425,0.99023,0.00161822,0.00161822,0.00161822
24,973.31,1.3213,1.43217,0.99304,0.45167,0.4729,0.4159,0.22345,1.52493,1.57176,1.01487,0.00161373,0.00161373,0.00161373
25,1015.91,1.31844,1.42762,0.99211,0.42278,0.44578,0.37987,0.21829,1.37625,1.63322,0.9848,0.00160905,0.00160905,0.00160905
26,1058.82,1.32679,1.41991,0.99491,0.45271,0.47354,0.42526,0.24964,1.36352,1.51976,0.98686,0.00160419,0.00160419,0.00160419
27,1101.67,1.29561,1.41978,0.98741,0.40206,0.47411,0.38812,0.23,1.35411,1.69069,0.97634,0.00159913,0.00159913,0.00159913
28,1141.82,1.30472,1.43849,0.98923,0.44773,0.48418,0.43237,0.25467,1.33328,1.53986,0.97854,0.00159389,0.00159389,0.00159389
29,1180.65,1.31659,1.4066,0.98956,0.4627,0.48613,0.44042,0.25302,1.39509,1.53104,0.97853,0.00158847,0.00158847,0.00158847
30,1221.45,1.30182,1.43128,0.98841,0.42425,0.47981,0.41977,0.23025,1.4498,1.57606,0.99734,0.00158286,0.00158286,0.00158286
31,1261.33,1.30876,1.41168,0.99053,0.44925,0.47199,0.42279,0.25286,1.38027,1.52737,0.98256,0.00157706,0.00157706,0.00157706
32,1302.92,1.31113,1.40034,0.98774,0.43862,0.48713,0.42362,0.24734,1.3789,1.53016,0.98388,0.00157109,0.00157109,0.00157109
33,1344.56,1.28717,1.37369,0.98417,0.47019,0.49088,0.44289,0.26575,1.32601,1.50955,0.9735,0.00156493,0.00156493,0.00156493
34,1385.37,1.29685,1.40885,0.98428,0.47364,0.49294,0.44636,0.25507,1.38744,1.51772,0.98045,0.0015586,0.0015586,0.0015586
35,1421.99,1.29083,1.39062,0.98282,0.45882,0.48449,0.44015,0.24671,1.44358,1.52467,0.99239,0.00155209,0.00155209,0.00155209
