epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.919,1.50709,1.81972,1.15499,0.36247,0.42817,0.33617,0.18694,1.6498,2.38533,1.10176,0.00333194,0.00333194,0.00333194
2,1095.16,1.36601,1.57008,1.06868,0.36976,0.38988,0.31843,0.15534,1.98529,2.20667,1.1935,0.00666487,0.00666487,0.00666487
3,1612.31,1.3945,1.58644,1.07816,0.32232,0.3899,0.29707,0.14675,1.82774,3.0925,1.15237,0.00999617,0.00999617,0.00999617
4,2123.88,1.36847,1.55871,1.07345,0.3194,0.42502,0.3217,0.15369,1.95308,2.87321,1.18514,0.0099945,0.0099945,0.0099945
5,2641.03,1.3232,1.51485,1.05866,0.36422,0.44844,0.34814,0.16905,1.91813,2.49262,1.16882,0.00999023,0.00999023,0.00999023
6,3150.01,1.29102,1.49098,1.04823,0.35674,0.44755,0.35414,0.18981,1.66358,2.2232,1.10226,0.00998474,0.00998474,0.00998474
7,3666.41,1.266,1.46174,1.04186,0.38368,0.46257,0.36996,0.18765,1.78426,2.23711,1.12463,0.00997803,0.00997803,0.00997803
8,4175.47,1.25429,1.43826,1.03639,0.38555,0.459,0.37218,0.17981,1.84973,2.28505,1.14937,0.00997011,0.00997011,0.00997011
9,4688.79,1.23809,1.42146,1.03138,0.39539,0.47218,0.38011,0.18521,1.87613,2.11206,1.15602,0.00996097,0.00996097,0.00996097
10,5203.87,1.23248,1.41417,1.03022,0.40201,0.47812,0.38826,0.1954,1.80382,2.16089,1.13033,0.00995062,0.00995062,0.00995062
11,5716.58,1.22564,1.40457,1.02573,0.35649,0.47631,0.28496,0.13749,1.86473,3.25937,1.1469,0.00993906,0.00993906,0.00993906
12,6234.21,1.22035,1.39807,1.02322,0.42023,0.48984,0.40271,0.1998,1.8319,2.09205,1.13559,0.00992629,0.00992629,0.00992629
13,6747.69,1.21511,1.38932,1.02223,0.40413,0.48365,0.39268,0.18406,1.95844,2.21033,1.1677,0.00991232,0.00991232,0.00991232
14,7272.87,1.20903,1.38331,1.02009,0.42241,0.4819,0.40299,0.18808,1.94209,2.12783,1.16073,0.00989715,0.00989715,0.00989715
15,7798.15,1.2068,1.37972,1.01923,0.42638,0.49698,0.41256,0.20909,1.7909,2.00679,1.12062,0.00988079,0.00988079,0.00988079
16,8315.79,1.20058,1.36686,1.01773,0.43671,0.48937,0.41448,0.21134,1.78639,2.01799,1.11732,0.00986323,0.00986323,0.00986323
17,8827.75,1.19387,1.36879,1.01711,0.43435,0.49273,0.41608,0.21845,1.73095,2.04705,1.10067,0.00984449,0.00984449,0.00984449
18,9339.62,1.19422,1.35647,1.01592,0.4379,0.49238,0.41777,0.21743,1.74643,2.05608,1.10658,0.00982456,0.00982456,0.00982456
19,9845.73,1.1923,1.36121,1.01554,0.43717,0.49014,0.41789,0.21073,1.7925,2.08596,1.1208,0.00980345,0.00980345,0.00980345
20,10353.7,1.19013,1.34691,1.01301,0.44523,0.48803,0.42035,0.21249,1.78471,2.06182,1.11724,0.00978118,0.00978118,0.00978118
21,10860.7,1.18714,1.34748,1.01168,0.44358,0.49314,0.42066,0.20998,1.8141,2.08871,1.12465,0.00975773,0.00975773,0.00975773
22,11365.1,1.18634,1.35055,1.01053,0.43777,0.49686,0.41984,0.2127,1.79387,2.07234,1.11859,0.00973312,0.00973312,0.00973312
23,11894.5,1.18406,1.34319,1.01099,0.44087,0.50039,0.42422,0.22039,1.74294,2.00643,1.10452,0.00970736,0.00970736,0.00970736
24,12412.1,1.17648,1.3395,1.00845,0.43981,0.50256,0.42487,0.21998,1.75026,1.99738,1.10585,0.00968045,0.00968045,0.00968045
25,12918,1.18126,1.34012,1.01004,0.44077,0.50297,0.42609,0.21945,1.75788,1.99395,1.10726,0.00965239,0.00965239,0.00965239
26,13425.5,1.17758,1.33202,1.00757,0.4416,0.50426,0.42605,0.21852,1.76854,2.00282,1.10946,0.0096232,0.0096232,0.0096232
27,13931.6,1.17588,1.33807,1.00719,0.44242,0.50285,0.42551,0.21872,1.76506,1.99077,1.10803,0.00959289,0.00959289,0.00959289
28,14440,1.17322,1.32563,1.00587,0.44299,0.50489,0.42688,0.21985,1.75975,1.98739,1.10649,0.00956145,0.00956145,0.00956145
29,14948.9,1.17248,1.32436,1.00647,0.44321,0.50803,0.42829,0.22067,1.75769,1.98094,1.10576,0.00952889,0.00952889,0.00952889
30,15460,1.17164,1.31833,1.0049,0.44507,0.50712,0.42956,0.22252,1.74833,1.97654,1.10291,0.00949524,0.00949524,0.00949524
31,15970.4,1.16797,1.32015,1.00425,0.44659,0.50541,0.43002,0.22345,1.73949,1.96805,1.10042,0.00946048,0.00946048,0.00946048
32,16481,1.16895,1.3199,1.00262,0.44773,0.50614,0.43151,0.22577,1.72572,1.96039,1.09678,0.00942464,0.00942464,0.00942464
33,16990.8,1.1709,1.32022,1.005,0.4479,0.50671,0.43227,0.22705,1.71782,1.95389,1.09448,0.00938772,0.00938772,0.00938772
34,17506.4,1.16296,1.31295,1.00113,0.44777,0.50844,0.43299,0.22802,1.71152,1.9484,1.09246,0.00934973,0.00934973,0.00934973
35,18011.5,1.16365,1.31938,1.00243,0.44855,0.50995,0.43326,0.22856,1.70954,1.94589,1.09153,0.00931067,0.00931067,0.00931067
36,18521.5,1.16228,1.31295,1.00367,0.44953,0.51061,0.43372,0.22951,1.704,1.9448,1.08987,0.00927057,0.00927057,0.00927057
37,19034.6,1.16229,1.3088,1.00316,0.45082,0.51149,0.43525,0.23133,1.69399,1.94123,1.08716,0.00922942,0.00922942,0.00922942
38,19546,1.16413,1.31172,1.00416,0.4522,0.51147,0.43584,0.23219,1.68792,1.94431,1.08572,0.00918725,0.00918725,0.00918725
39,20053,1.16052,1.30834,1.00353,0.45395,0.51151,0.43647,0.23413,1.6754,1.93479,1.0825,0.00914405,0.00914405,0.00914405
40,20562.9,1.15595,1.30225,1.00081,0.45517,0.5124,0.43733,0.236,1.66345,1.92641,1.07946,0.00909984,0.00909984,0.00909984
41,21077.4,1.15964,1.29519,1.00079,0.45596,0.51129,0.43853,0.23794,1.65017,1.91689,1.07611,0.00905463,0.00905463,0.00905463
42,21591.4,1.15601,1.29907,0.99999,0.45616,0.51214,0.43986,0.24029,1.63524,1.91415,1.07219,0.00900844,0.00900844,0.00900844
43,22097.5,1.15691,1.2978,1.0003,0.45665,0.51171,0.44044,0.24192,1.62677,1.91147,1.06984,0.00896127,0.00896127,0.00896127
44,22610.6,1.15184,1.28863,0.99917,0.45735,0.51078,0.44119,0.24434,1.6119,1.90343,1.06633,0.00891313,0.00891313,0.00891313
45,23122.4,1.15508,1.29066,1.00094,0.45706,0.51218,0.44171,0.24633,1.59793,1.89203,1.06295,0.00886404,0.00886404,0.00886404
46,23631.2,1.15102,1.29023,0.99741,0.45938,0.51215,0.44282,0.24887,1.57917,1.88126,1.05864,0.00881401,0.00881401,0.00881401
47,24137,1.15597,1.29391,0.99969,0.46118,0.51176,0.44347,0.25042,1.56917,1.87722,1.05636,0.00876305,0.00876305,0.00876305
48,24646.1,1.14843,1.28717,0.99803,0.46012,0.51495,0.4442,0.25244,1.55707,1.87208,1.05369,0.00871117,0.00871117,0.00871117
49,25155.1,1.15193,1.29026,0.99911,0.46035,0.51491,0.44523,0.25272,1.55767,1.86814,1.05369,0.00865839,0.00865839,0.00865839
50,25666.1,1.1513,1.2915,0.99984,0.46032,0.51571,0.44567,0.25266,1.56035,1.8667,1.0541,0.00860473,0.00860473,0.00860473
51,26174.5,1.14883,1.28399,0.9995,0.46117,0.51497,0.44625,0.25287,1.56378,1.86494,1.05473,0.00855018,0.00855018,0.00855018
52,26685.9,1.14757,1.27486,0.99821,0.46138,0.51634,0.44718,0.25277,1.56821,1.86594,1.0555,0.00849477,0.00849477,0.00849477
53,27208.4,1.14646,1.27919,0.99753,0.46207,0.5167,0.44758,0.25244,1.57037,1.86537,1.0556,0.00843851,0.00843851,0.00843851
54,27726.5,1.14723,1.27573,0.99863,0.46278,0.51815,0.44827,0.25287,1.56751,1.86592,1.05499,0.00838141,0.00838141,0.00838141
55,28237.9,1.14709,1.27146,0.9985,0.46335,0.51996,0.44901,0.25403,1.56125,1.86778,1.05335,0.00832349,0.00832349,0.00832349
56,28757.3,1.14358,1.27862,0.99734,0.46391,0.51976,0.44983,0.25459,1.56025,1.87052,1.053,0.00826477,0.00826477,0.00826477
57,29271.6,1.14475,1.27759,0.99527,0.46438,0.51857,0.45024,0.25461,1.56173,1.86943,1.05335,0.00820525,0.00820525,0.00820525
58,29785.2,1.13923,1.27262,0.9951,0.4654,0.51979,0.4509,0.25528,1.5599,1.86703,1.05275,0.00814495,0.00814495,0.00814495
59,30301.3,1.1371,1.27111,0.99538,0.46778,0.51871,0.45193,0.25599,1.55864,1.86614,1.05231,0.00808389,0.00808389,0.00808389
60,30817.2,1.13657,1.26926,0.99528,0.46634,0.52151,0.45285,0.25721,1.55559,1.86233,1.0515,0.00802208,0.00802208,0.00802208
61,31341.7,1.13402,1.26128,0.99491,0.46874,0.51904,0.45322,0.25675,1.5617,1.86307,1.05284,0.00795954,0.00795954,0.00795954
62,31854.5,1.13562,1.27017,0.99395,0.4695,0.52038,0.45388,0.25707,1.56294,1.86064,1.05316,0.00789628,0.00789628,0.00789628
63,32349.7,1.13876,1.26313,0.99449,0.46909,0.52115,0.4541,0.2574,1.56113,1.85739,1.0526,0.00783231,0.00783231,0.00783231
64,32845.2,1.13484,1.26154,0.99387,0.4695,0.52232,0.45462,0.25789,1.5604,1.85415,1.05238,0.00776766,0.00776766,0.00776766
65,33340.5,1.13016,1.2605,0.99226,0.47052,0.52377,0.45537,0.25941,1.55231,1.84764,1.05061,0.00770234,0.00770234,0.00770234
66,33840.6,1.12615,1.25601,0.99134,0.47103,0.52375,0.456,0.25971,1.55032,1.84352,1.05023,0.00763637,0.00763637,0.00763637
67,34332.4,1.12758,1.25127,0.992,0.4704,0.52436,0.45727,0.26057,1.54813,1.83872,1.04993,0.00756976,0.00756976,0.00756976
68,34830.7,1.12838,1.25214,0.99225,0.47273,0.52286,0.45796,0.26096,1.549,1.83187,1.05003,0.00750252,0.00750252,0.00750252
69,35343.6,1.12286,1.25634,0.99098,0.47178,0.52433,0.45798,0.26195,1.54267,1.83062,1.04858,0.00743468,0.00743468,0.00743468
70,35859.8,1.12059,1.2533,0.98804,0.47297,0.52327,0.45832,0.26216,1.54285,1.82714,1.04838,0.00736625,0.00736625,0.00736625
71,36376.3,1.12105,1.24918,0.99042,0.47705,0.52183,0.45921,0.26348,1.53759,1.82125,1.04716,0.00729725,0.00729725,0.00729725
72,36889.6,1.12268,1.2515,0.99062,0.47739,0.5227,0.45997,0.2649,1.52791,1.81488,1.045,0.0072277,0.0072277,0.0072277
73,37408,1.12027,1.24626,0.99003,0.47753,0.52346,0.46124,0.26634,1.51972,1.81093,1.04326,0.00715761,0.00715761,0.00715761
